episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
1,-36.30000000000002,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
2,-34.15000000000003,100,False,True,False,0,"(6, 1)",False,False,False,True,False,False,False,False
3,-38.15000000000002,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
4,-44.14999999999998,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
5,-36.20000000000002,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
6,-27.15000000000002,100,False,True,False,0,"(1, 6)",True,False,True,False,False,False,False,False
7,-34.60000000000003,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
8,-24.700000000000017,100,False,True,False,0,"(5, 1)",True,True,True,False,False,False,False,False
9,-27.75000000000003,100,False,True,False,0,"(3, 4)",False,False,False,True,False,False,False,False
10,-36.55000000000002,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
11,-33.70000000000002,100,False,True,False,0,"(2, 6)",True,False,False,False,False,False,False,False
12,-30.90000000000003,100,False,True,False,0,"(5, 5)",False,False,False,False,False,False,False,False
13,-37.60000000000002,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
14,-29.500000000000032,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
15,-26.100000000000033,100,False,True,False,0,"(4, 4)",False,False,False,True,False,False,False,False
16,-39.55000000000001,100,False,True,False,0,"(6, 5)",False,False,False,False,False,False,False,False
17,-31.650000000000027,100,False,True,False,0,"(1, 4)",True,False,True,False,False,False,False,False
18,-37.05000000000001,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
19,-38.550000000000004,100,False,True,False,0,"(3, 6)",False,False,False,False,False,False,False,False
20,-25.800000000000026,100,False,True,False,0,"(6, 2)",False,False,True,True,False,False,False,False
21,-35.65000000000003,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
22,-32.10000000000002,100,False,True,False,0,"(1, 5)",True,True,False,False,False,False,False,False
23,-35.20000000000002,100,False,True,False,0,"(1, 3)",False,False,False,False,False,False,False,False
24,-34.35000000000002,100,False,True,False,0,"(1, 6)",False,False,False,False,False,False,False,False
25,-31.15000000000003,100,False,True,False,0,"(4, 3)",False,False,False,True,False,False,False,False
26,-35.050000000000026,100,False,True,False,0,"(1, 2)",True,False,False,False,False,False,False,False
27,-29.600000000000023,100,False,True,False,0,"(1, 1)",False,False,True,False,False,False,False,False
28,-32.50000000000002,100,False,True,False,0,"(4, 4)",False,False,False,False,False,False,False,False
29,-40.4,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
30,-41.35,100,False,True,False,0,"(6, 1)",False,False,False,False,False,False,False,False
31,-28.950000000000028,100,False,True,False,0,"(6, 5)",True,False,False,True,False,False,False,False
32,-36.55000000000002,100,False,True,False,0,"(6, 1)",False,False,False,False,False,False,False,False
33,-34.80000000000002,100,False,True,False,0,"(4, 6)",True,False,True,False,False,False,False,False
34,-37.00000000000003,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
35,-36.40000000000002,100,False,True,False,0,"(3, 5)",True,False,False,False,False,False,False,False
36,-35.35000000000002,100,False,True,False,0,"(6, 1)",False,False,True,False,False,False,False,False
