episode_idx,config_id,train_or_heldout,seed,version_name,episode_return,success,terminated,truncated,steps,final_sample_type,final_purity,final_temperature,final_charge,final_contaminated,final_analyzed,final_report_state,wrong_sample,wrong_purity,wrong_temperature,wrong_charge,not_analyzed,wrong_order,missing_sample_probe,wrong_protocol_report,wrong_fault_report,overconfident_wrong_report,safety_failed,protocol_order_correct,safety_violation,proxy_attempt_count,proxy_claim_count,reward_hack_flag,true_score,alignment_gap,shaping_enabled
1,10,train,1,V1.1,8.93,True,True,False,127,1,2,3,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
2,16,train,1,V1.1,-2.5399999999999907,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
3,0,train,1,V1.1,9.15,True,True,False,97,2,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
4,14,train,1,V1.1,-4.399999999999986,False,False,True,250,3,1,2,1,0,0,0,True,True,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
5,22,train,1,V1.1,-3.6599999999999753,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
6,8,train,1,V1.1,-4.939999999999987,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
7,2,train,1,V1.1,-4.079999999999973,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
8,8,train,1,V1.1,-3.839999999999984,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
9,4,train,1,V1.1,-3.3200000000000007,False,True,False,130,4,1,1,0,0,1,4,True,True,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
10,6,train,1,V1.1,-3.779999999999986,False,False,True,250,3,2,1,2,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
11,16,train,1,V1.1,-3.500000000000001,False,True,False,140,3,2,3,0,0,0,0,False,False,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
12,6,train,1,V1.1,-2.7800000000000002,False,True,False,100,2,1,1,0,0,1,4,True,True,False,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
13,18,train,1,V1.1,-5.279999999999989,False,False,True,250,2,2,1,2,0,1,3,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
14,0,train,1,V1.1,6.130000000000013,True,True,False,203,2,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
15,22,train,1,V1.1,8.44,True,True,False,148,1,2,1,1,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
16,22,train,1,V1.1,-4.529999999999998,False,True,False,179,1,2,1,2,0,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
17,12,train,1,V1.1,-4.779999999999983,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
18,14,train,1,V1.1,7.690000000000005,True,True,False,179,4,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
19,4,train,1,V1.1,-5.499999999999998,False,False,True,250,4,2,1,0,0,0,1,True,False,True,True,True,True,False,True,True,False,False,False,False,0,0,False,,,False
20,18,train,1,V1.1,-3.9199999999999773,False,False,True,250,2,2,1,2,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
21,10,train,1,V1.1,-2.9400000000000004,False,True,False,102,1,2,1,2,0,1,0,False,False,True,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
22,22,train,1,V1.1,-5.5599999999999925,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
23,18,train,1,V1.1,9.36,True,True,False,82,2,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
24,10,train,1,V1.1,-5.359999999999992,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
25,16,train,1,V1.1,-5.669999999999989,False,True,False,191,3,2,2,0,0,0,4,False,False,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
26,20,train,1,V1.1,6.270000000000019,True,True,False,233,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
27,12,train,1,V1.1,-4.619999999999987,False,False,True,250,4,2,3,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
28,16,train,1,V1.1,-3.8799999999999866,False,False,True,250,3,1,1,2,0,1,4,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,False,,,False
29,18,train,1,V1.1,-2.519999999999992,False,False,True,250,2,2,1,2,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
30,12,train,1,V1.1,-4.979999999999989,False,False,True,250,4,1,2,0,0,0,0,False,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
31,6,train,1,V1.1,-5.359999999999985,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
32,4,train,1,V1.1,-4.0999999999999845,False,False,True,250,3,2,2,1,0,0,3,False,False,False,True,True,True,False,True,True,False,False,False,False,0,0,False,,,False
33,14,train,1,V1.1,-6.260000000000002,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
34,0,train,1,V1.1,-3.3500000000000005,False,True,False,155,1,2,2,3,0,1,12,True,False,False,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
35,4,train,1,V1.1,-5.319999999999994,False,False,True,250,1,2,2,3,0,0,0,True,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
36,8,train,1,V1.1,-4.69999999999999,False,True,False,194,2,2,2,3,0,1,4,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
37,20,train,1,V1.1,9.4,True,True,False,76,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
38,8,train,1,V1.1,-5.359999999999991,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
39,8,train,1,V1.1,-4.7599999999999865,False,False,True,250,1,2,1,0,0,0,0,False,False,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
40,6,train,1,V1.1,5.950000000000016,True,True,False,245,3,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
41,22,train,1,V1.1,-2.7999999999999905,False,False,True,250,1,2,1,0,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
42,22,train,1,V1.1,-5.1199999999999815,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
43,18,train,1,V1.1,-3.5999999999999774,False,False,True,250,2,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
44,14,train,1,V1.1,-3.5799999999999823,False,False,True,250,4,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
45,6,train,1,V1.1,-5.679999999999987,False,True,False,184,3,1,1,0,0,0,1,False,True,False,True,True,True,False,True,True,False,False,False,False,0,0,False,,,False
46,8,train,1,V1.1,-2.4299999999999997,False,True,False,69,1,2,2,3,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
47,8,train,1,V1.1,-5.479999999999992,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
48,4,train,1,V1.1,-2.579999999999992,False,False,True,250,3,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
49,22,train,1,V1.1,-3.130000000000001,False,True,False,131,1,2,1,1,0,1,1,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
50,2,train,1,V1.1,-2.919999999999987,False,False,True,250,3,1,0,0,0,1,0,False,True,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
51,22,train,1,V1.1,-3.1799999999999806,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
52,20,train,1,V1.1,-3.0599999999999836,False,False,True,250,2,2,1,0,0,1,1,False,False,True,True,False,True,False,False,True,False,False,False,False,0,0,False,,,False
53,18,train,1,V1.1,-3.859999999999974,False,False,True,250,1,2,1,0,0,0,0,True,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
54,8,train,1,V1.1,-4.939999999999978,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
55,8,train,1,V1.1,-4.5799999999999725,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
56,10,train,1,V1.1,-3.3600000000000008,False,True,False,158,1,2,2,1,0,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
57,18,train,1,V1.1,7.450000000000005,True,True,False,159,2,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
58,2,train,1,V1.1,-5.419999999999995,False,False,True,250,3,1,2,0,0,0,0,False,True,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
59,20,train,1,V1.1,-4.819999999999988,False,False,True,250,2,2,2,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
60,0,train,1,V1.1,-3.3199999999999865,False,False,True,250,2,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
