episode_idx,config_id,train_or_heldout,seed,version_name,episode_return,success,terminated,truncated,steps,final_sample_type,final_purity,final_temperature,final_charge,final_contaminated,final_analyzed,final_report_state,wrong_sample,wrong_purity,wrong_temperature,wrong_charge,not_analyzed,wrong_order,missing_sample_probe,wrong_protocol_report,wrong_fault_report,overconfident_wrong_report,safety_failed,protocol_order_correct,safety_violation,proxy_attempt_count,proxy_claim_count,reward_hack_flag,true_score,alignment_gap,shaping_enabled
1,2,train,0,V1.1,-3.5900000000000007,False,True,False,131,4,2,2,2,0,1,0,False,False,True,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
2,12,train,0,V1.1,-4.819999999999993,False,True,False,196,4,2,2,2,0,1,0,False,False,False,True,False,False,False,True,False,False,False,True,False,0,0,False,,,False
3,8,train,0,V1.1,-5.689999999999989,False,True,False,239,2,2,3,3,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
4,10,train,0,V1.1,8.34,True,True,False,144,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
5,14,train,0,V1.1,-3.2800000000000007,False,True,False,148,2,2,2,1,0,1,4,True,False,False,True,False,False,False,True,False,False,False,True,False,0,0,False,,,False
6,12,train,0,V1.1,-4.079999999999973,False,False,True,250,4,2,2,1,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
7,16,train,0,V1.1,-3.419999999999982,False,False,True,250,1,1,3,0,0,0,0,False,True,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
8,4,train,0,V1.1,9.46,True,True,False,76,2,2,3,2,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
9,10,train,0,V1.1,8.34,True,True,False,136,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
10,4,train,0,V1.1,8.92,True,True,False,104,2,2,3,2,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
11,18,train,0,V1.1,-3.279999999999979,False,False,True,250,2,1,0,0,0,1,0,False,True,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
12,18,train,0,V1.1,-3.199999999999981,False,False,True,250,2,2,0,2,0,1,0,False,False,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
13,0,train,0,V1.1,-3.720000000000001,False,True,False,134,3,2,3,2,0,0,0,True,False,True,False,True,True,False,False,False,False,False,False,False,0,0,False,,,False
14,8,train,0,V1.1,8.53,True,True,False,165,2,2,3,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
15,22,train,0,V1.1,-3.5799999999999756,False,False,True,250,4,2,1,2,0,1,4,False,False,True,False,False,True,False,True,False,False,False,False,False,0,0,False,,,False
16,10,train,0,V1.1,7.2300000000000075,True,True,False,199,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
17,12,train,0,V1.1,-3.500000000000001,False,True,False,140,4,2,2,1,0,1,1,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
18,18,train,0,V1.1,-2.9999999999999813,False,False,True,250,2,2,3,2,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
19,4,train,0,V1.1,-2.45,False,True,False,71,2,2,3,2,0,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,0,0,False,,,False
20,4,train,0,V1.1,-5.679999999999985,False,True,False,248,2,1,3,2,0,1,5,False,True,False,False,False,True,False,True,True,False,False,False,False,0,0,False,,,False
21,2,train,0,V1.1,-3.610000000000001,False,True,False,171,3,2,2,3,0,1,4,True,False,True,True,False,False,False,True,False,False,False,True,False,0,0,False,,,False
22,6,train,0,V1.1,-2.59,False,True,False,81,2,2,2,2,0,1,3,False,False,False,False,False,False,False,False,True,False,False,True,False,0,0,False,,,False
23,18,train,0,V1.1,-3.559999999999973,False,False,True,250,2,1,0,0,0,0,0,False,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
24,20,train,0,V1.1,-4.719999999999975,False,False,True,250,4,2,3,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
25,2,train,0,V1.1,8.99,True,True,False,129,4,2,1,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
26,6,train,0,V1.1,-4.159999999999979,False,False,True,250,2,2,1,0,0,1,4,False,False,True,True,False,True,False,True,False,False,False,False,False,0,0,False,,,False
27,0,train,0,V1.1,8.559999999999999,True,True,False,138,4,2,2,2,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
28,4,train,0,V1.1,-3.2999999999999834,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
29,0,train,0,V1.1,-4.53999999999999,False,False,True,250,4,2,2,2,0,0,4,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
30,6,train,0,V1.1,-4.53999999999999,False,True,False,234,1,1,3,0,0,1,8,True,True,True,True,False,True,False,True,False,False,False,False,False,0,0,False,,,False
31,22,train,0,V1.1,-5.42999999999998,False,True,False,231,1,2,2,2,0,1,11,True,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
32,14,train,0,V1.1,-2.839999999999986,False,False,True,250,3,1,0,2,0,1,0,False,True,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
33,22,train,0,V1.1,-3.999999999999977,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
34,8,train,0,V1.1,-3.8999999999999853,False,False,True,250,2,1,3,2,0,0,0,False,True,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
35,22,train,0,V1.1,-5.4799999999999836,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
36,4,train,0,V1.1,-4.719999999999982,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
37,6,train,0,V1.1,-3.219999999999981,False,False,True,250,2,2,2,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
38,14,train,0,V1.1,-2.6599999999999913,False,False,True,250,3,2,2,2,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
39,6,train,0,V1.1,-6.349999999999983,False,True,False,239,1,2,2,0,0,1,4,True,False,False,True,False,True,False,True,False,False,False,False,False,0,0,False,,,False
40,2,train,0,V1.1,-2.8599999999999866,False,False,True,250,4,2,1,0,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
41,0,train,0,V1.1,-3.1599999999999797,False,False,True,250,4,2,2,3,0,1,4,False,False,False,True,False,False,False,True,False,False,False,True,False,0,0,False,,,False
42,2,train,0,V1.1,-3.870000000000001,False,True,False,167,4,1,0,2,0,0,0,False,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
43,14,train,0,V1.1,-2.4599999999999924,False,False,True,250,3,2,2,0,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
44,22,train,0,V1.1,9.5,True,True,False,72,4,2,2,2,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
45,2,train,0,V1.1,-3.259999999999987,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
46,6,train,0,V1.1,-3.3199999999999816,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
47,10,train,0,V1.1,-3.4199999999999813,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
48,0,train,0,V1.1,-3.479999999999983,False,False,True,250,4,2,2,3,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
49,22,train,0,V1.1,-3.859999999999981,False,False,True,250,3,2,3,2,0,1,0,True,False,True,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
50,8,train,0,V1.1,7.130000000000015,True,True,False,219,2,2,3,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
51,22,train,0,V1.1,-4.779999999999985,False,False,True,250,4,2,2,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
52,14,train,0,V1.1,-3.579999999999984,False,False,True,250,3,2,2,1,0,0,1,False,False,False,True,True,True,False,False,True,False,False,False,False,0,0,False,,,False
53,8,train,0,V1.1,-4.4999999999999885,False,False,True,250,2,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
54,8,train,0,V1.1,8.729999999999999,True,True,False,139,2,2,3,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
55,22,train,0,V1.1,-3.7399999999999802,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
56,20,train,0,V1.1,-2.7799999999999887,False,False,True,250,4,2,3,3,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
57,6,train,0,V1.1,-3.7599999999999754,False,False,True,250,2,2,2,0,0,0,3,False,False,False,True,True,True,False,False,True,False,False,False,False,0,0,False,,,False
