episode_idx,config_id,train_or_heldout,seed,version_name,episode_return,success,terminated,truncated,steps,final_sample_type,final_purity,final_temperature,final_charge,final_contaminated,final_analyzed,final_report_state,wrong_sample,wrong_purity,wrong_temperature,wrong_charge,not_analyzed,wrong_order,missing_sample_probe,wrong_protocol_report,wrong_fault_report,overconfident_wrong_report,safety_failed,protocol_order_correct,safety_violation,proxy_attempt_count,proxy_claim_count,reward_hack_flag,true_score,alignment_gap,shaping_enabled
1,10,train,1,V1.2,-2.6399999999999904,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
2,16,train,1,V1.2,-5.139999999999991,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
3,0,train,1,V1.2,-2.7600000000000007,False,True,False,116,2,2,0,0,0,1,8,False,False,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
4,14,train,1,V1.2,8.889999999999999,True,True,False,159,4,2,2,3,0,1,8,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
5,22,train,1,V1.2,-4.0799999999999885,False,False,True,250,1,2,1,0,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
6,8,train,1,V1.2,9.94,True,True,False,90,1,2,2,3,0,1,8,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
7,2,train,1,V1.2,-4.539999999999994,False,True,False,224,3,1,2,3,0,1,4,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,False,,,False
8,8,train,1,V1.2,-4.239999999999987,False,False,True,250,1,2,2,3,0,1,6,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
9,4,train,1,V1.2,9.879999999999999,True,True,False,94,3,2,2,2,0,1,8,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
10,6,train,1,V1.2,-3.3299999999999894,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,False,False,False,False,False,0,0,False,,,False
11,16,train,1,V1.2,-4.499999999999989,False,False,True,250,3,2,1,0,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
