episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
1,-34.70000000000002,100,False,True,False,0,"(2, 4)",True,False,False,False,False,False,False,False,1.0
2,-33.90000000000002,100,False,True,False,0,"(4, 4)",False,False,False,True,False,False,False,False,0.995
3,-37.35000000000002,100,False,True,False,0,"(3, 6)",True,False,False,False,False,False,False,False,0.990025
4,-34.15000000000002,100,False,True,False,0,"(2, 1)",False,False,False,True,False,False,False,False,0.985074875
5,-36.35000000000003,100,False,True,False,0,"(1, 4)",False,False,False,False,False,False,False,False,0.9801495006250001
6,-42.64999999999999,100,False,True,False,0,"(6, 3)",False,False,False,False,False,False,False,False,0.9752487531218751
7,-34.75000000000002,100,False,True,False,0,"(5, 6)",False,False,False,False,False,False,False,False,0.9703725093562657
8,-28.050000000000026,100,False,True,False,0,"(3, 4)",True,False,True,False,False,False,False,False,0.9655206468094844
9,-38.55000000000001,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False,0.960693043575437
10,-34.75000000000003,100,False,True,False,0,"(6, 1)",False,False,False,False,False,False,False,False,0.9558895783575597
11,-26.650000000000027,100,False,True,False,0,"(3, 6)",False,False,True,True,False,False,False,False,0.9511101304657719
12,-33.40000000000003,100,False,True,False,0,"(1, 3)",True,False,False,False,False,False,False,False,0.946354579813443
13,-31.65000000000002,100,False,True,False,0,"(3, 2)",True,False,True,False,False,False,False,False,0.9416228069143757
14,-21.050000000000015,100,False,True,False,0,"(6, 3)",True,True,True,False,False,False,False,False,0.9369146928798039
15,-27.550000000000026,100,False,True,False,0,"(5, 2)",False,False,False,False,False,False,False,False,0.9322301194154049
16,-31.350000000000023,100,False,True,False,0,"(4, 1)",True,True,False,False,False,False,False,False,0.9275689688183278
17,-32.50000000000003,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False,0.9229311239742362
18,-39.55000000000001,100,False,True,False,0,"(6, 1)",True,False,False,False,False,False,False,False,0.918316468354365
19,-24.25000000000002,100,False,True,False,0,"(5, 2)",True,True,False,True,False,False,False,False,0.9137248860125932
20,-23.350000000000023,100,False,True,False,0,"(4, 3)",True,True,False,True,False,False,False,False,0.9091562615825302
21,-29.850000000000023,100,False,True,False,0,"(3, 6)",True,True,False,False,False,False,False,False,0.9046104802746175
22,-27.60000000000003,100,False,True,False,0,"(1, 1)",True,True,False,False,False,False,False,False,0.9000874278732445
23,-32.70000000000002,100,False,True,False,0,"(5, 3)",False,False,False,True,False,False,False,False,0.8955869907338783
24,-30.050000000000022,100,False,True,False,0,"(6, 1)",False,False,True,True,False,False,False,False,0.8911090557802088
25,-24.900000000000023,100,False,True,False,0,"(5, 5)",True,False,False,True,False,False,False,False,0.8866535105013078
26,-29.00000000000003,100,False,True,False,0,"(6, 6)",False,False,True,True,False,False,False,False,0.8822202429488013
27,-27.600000000000023,100,False,True,False,0,"(1, 3)",True,False,True,False,False,False,False,False,0.8778091417340573
28,-29.400000000000023,100,False,True,False,0,"(2, 4)",True,True,False,False,False,False,False,False,0.8734200960253871
29,-28.500000000000018,100,False,True,False,0,"(6, 2)",True,True,False,False,False,False,False,False,0.8690529955452602
30,-25.100000000000026,100,False,True,False,0,"(6, 2)",True,True,False,True,False,False,False,False,0.8647077305675338
31,-26.500000000000025,100,False,True,False,0,"(3, 5)",True,False,True,True,False,False,False,False,0.8603841919146962
