agent,metric,mean,std,median,iqr_low,iqr_high,min,max,n_seeds
SARSA,Final-N avg reward,23.48779411764706,0.2751487699195377,23.553999999999995,23.499999999999996,23.608999999999995,22.492500000000003,23.736,17
SARSA,Final-N success rate (%),99.88235294117646,0.48507125007266594,100.0,100.0,100.0,98.0,100.0,17
SARSA,Final-N avg steps,30.20176470588235,0.8298662188428155,29.89,29.78,30.15,29.59,32.63,17
SARSA,Overall success rate (%),97.90823529411765,0.18358360813664923,97.91,97.84,98.04,97.47,98.14,17
SARSA,Timeout rate (%),2.091764705882353,0.18358360813664873,2.09,1.96,2.16,1.8599999999999999,2.53,17
SARSA,Best episode reward,23.999999999999996,0.0,23.999999999999996,23.999999999999996,23.999999999999996,23.999999999999996,23.999999999999996,17
SARSA,Produced-result rate (%),98.00999999999999,0.17986105748604675,98.04,97.92,98.11999999999999,97.54,98.22999999999999,17
Expected SARSA,Final-N avg reward,23.56494117647059,0.08849397619911349,23.570999999999998,23.517999999999997,23.647,23.392,23.688,17
Expected SARSA,Final-N success rate (%),100.0,0.0,100.0,100.0,100.0,100.0,100.0,17
Expected SARSA,Final-N avg steps,29.892941176470586,0.2289586399844514,29.91,29.7,30.04,29.56,30.35,17
Expected SARSA,Overall success rate (%),98.39999999999999,0.07483314773548091,98.4,98.37,98.45,98.22999999999999,98.5,17
Expected SARSA,Timeout rate (%),1.5999999999999999,0.07483314773547883,1.6,1.55,1.63,1.5,1.77,17
Expected SARSA,Best episode reward,23.999999999999996,0.0,23.999999999999996,23.999999999999996,23.999999999999996,23.999999999999996,23.999999999999996,17
Expected SARSA,Produced-result rate (%),98.47999999999999,0.07945124291035359,98.50999999999999,98.42999999999999,98.53,98.33,98.59,17
Q-learning,Final-N avg reward,23.574176470588235,0.0780642646270675,23.58,23.529,23.615,23.397999999999996,23.699999999999996,17
Q-learning,Final-N success rate (%),100.0,0.0,100.0,100.0,100.0,100.0,100.0,17
Q-learning,Final-N avg steps,30.03117647058824,0.5191324777084988,29.88,29.79,30.02,29.7,31.94,17
Q-learning,Overall success rate (%),98.54764705882354,0.4700868192653986,98.68,98.6,98.76,96.83,98.86,17
Q-learning,Timeout rate (%),1.4523529411764706,0.4700868192653978,1.32,1.24,1.4000000000000001,1.1400000000000001,3.17,17
Q-learning,Best episode reward,23.99411764705882,0.02425356250363364,23.999999999999996,23.999999999999996,23.999999999999996,23.899999999999995,23.999999999999996,17
Q-learning,Produced-result rate (%),98.63647058823528,0.4537612419608798,98.76,98.69,98.81,96.96000000000001,98.95,17
