agent,agent_key,seed,final_avg_reward,final_success_rate,final_avg_steps,overall_success_rate,timeout_rate,best_reward,has_result_rate
SARSA,sarsa,0,23.608999999999995,100.0,29.88,98.08,1.92,23.999999999999996,98.22999999999999
SARSA,sarsa,1,23.499999999999996,100.0,29.72,97.61999999999999,2.3800000000000003,23.999999999999996,97.76
SARSA,sarsa,2,23.551,100.0,29.87,98.04,1.96,23.999999999999996,98.11999999999999
SARSA,sarsa,3,23.640999999999995,100.0,29.78,97.91,2.09,23.999999999999996,98.04
SARSA,sarsa,4,23.555,100.0,29.79,98.03,1.97,23.999999999999996,98.11999999999999
SARSA,sarsa,5,23.518999999999995,100.0,30.15,98.00999999999999,1.9900000000000002,23.999999999999996,98.11999999999999
SARSA,sarsa,6,23.563,100.0,29.99,97.47,2.53,23.999999999999996,97.54
SARSA,sarsa,7,23.265999999999995,100.0,31.94,97.77,2.23,23.999999999999996,97.88
SARSA,sarsa,8,23.631,100.0,30.59,97.84,2.16,23.999999999999996,97.92
SARSA,sarsa,9,23.563000000000002,100.0,29.72,98.08,1.92,23.999999999999996,98.17
SARSA,sarsa,10,23.736,100.0,29.59,97.91,2.09,23.999999999999996,98.03
SARSA,sarsa,11,23.553999999999995,100.0,29.9,97.7,2.3,23.999999999999996,97.88
SARSA,sarsa,12,23.546999999999997,100.0,30.04,97.97,2.03,23.999999999999996,98.05
SARSA,sarsa,13,23.633999999999993,100.0,30.28,97.89,2.11,23.999999999999996,97.96000000000001
SARSA,sarsa,14,22.492500000000003,98.0,32.63,98.1,1.9,23.999999999999996,98.18
SARSA,sarsa,15,23.468999999999998,100.0,29.89,97.88,2.12,23.999999999999996,97.95
SARSA,sarsa,16,23.462,100.0,29.67,98.14,1.8599999999999999,23.999999999999996,98.22
Expected SARSA,expected_sarsa,0,23.426,100.0,30.03,98.4,1.6,23.999999999999996,98.52
Expected SARSA,expected_sarsa,1,23.656,100.0,29.66,98.33,1.67,23.999999999999996,98.44000000000001
Expected SARSA,expected_sarsa,2,23.538,100.0,30.04,98.39,1.6099999999999999,23.999999999999996,98.42999999999999
Expected SARSA,expected_sarsa,3,23.684999999999995,100.0,29.71,98.3,1.7000000000000002,23.999999999999996,98.34
Expected SARSA,expected_sarsa,4,23.598,100.0,29.56,98.42999999999999,1.5699999999999998,23.999999999999996,98.49
Expected SARSA,expected_sarsa,5,23.535,100.0,29.92,98.44000000000001,1.5599999999999998,23.999999999999996,98.52
Expected SARSA,expected_sarsa,6,23.462999999999997,100.0,30.28,98.31,1.69,23.999999999999996,98.39
Expected SARSA,expected_sarsa,7,23.517999999999997,100.0,29.9,98.5,1.5,23.999999999999996,98.57000000000001
Expected SARSA,expected_sarsa,8,23.647,100.0,29.93,98.42,1.58,23.999999999999996,98.53
Expected SARSA,expected_sarsa,9,23.59,100.0,30.35,98.37,1.63,23.999999999999996,98.46000000000001
Expected SARSA,expected_sarsa,10,23.392,100.0,30.08,98.4,1.6,23.999999999999996,98.50999999999999
Expected SARSA,expected_sarsa,11,23.546,100.0,30.06,98.22999999999999,1.77,23.999999999999996,98.33
Expected SARSA,expected_sarsa,12,23.688,100.0,29.65,98.48,1.52,23.999999999999996,98.58
Expected SARSA,expected_sarsa,13,23.656999999999996,100.0,29.91,98.38,1.6199999999999999,23.999999999999996,98.41
Expected SARSA,expected_sarsa,14,23.492000000000004,100.0,29.7,98.49,1.51,23.999999999999996,98.59
Expected SARSA,expected_sarsa,15,23.601999999999993,100.0,29.75,98.45,1.55,23.999999999999996,98.50999999999999
Expected SARSA,expected_sarsa,16,23.570999999999998,100.0,29.65,98.48,1.52,23.999999999999996,98.54
Q-learning,q_learning,0,23.529,100.0,29.77,98.77,1.23,23.999999999999996,98.81
Q-learning,q_learning,1,23.6,100.0,29.7,98.69,1.31,23.999999999999996,98.76
Q-learning,q_learning,2,23.603999999999996,100.0,30.25,98.6,1.4000000000000001,23.999999999999996,98.74000000000001
Q-learning,q_learning,3,23.576999999999998,100.0,29.71,98.66,1.34,23.999999999999996,98.72
Q-learning,q_learning,4,23.478999999999996,100.0,31.94,98.74000000000001,1.26,23.899999999999995,98.8
Q-learning,q_learning,5,23.58,100.0,30.19,98.86,1.1400000000000001,23.999999999999996,98.95
Q-learning,q_learning,6,23.699999999999996,100.0,30.13,98.42,1.58,23.999999999999996,98.64
Q-learning,q_learning,7,23.61399999999999,100.0,29.96,98.68,1.32,23.999999999999996,98.72
Q-learning,q_learning,8,23.615,100.0,29.85,98.63,1.37,23.999999999999996,98.69
Q-learning,q_learning,9,23.502999999999997,100.0,30.02,98.50999999999999,1.49,23.999999999999996,98.65
Q-learning,q_learning,10,23.476999999999993,100.0,29.82,98.76,1.24,23.999999999999996,98.81
Q-learning,q_learning,11,23.397999999999996,100.0,29.96,96.83,3.17,23.999999999999996,96.96000000000001
Q-learning,q_learning,12,23.657000000000004,100.0,29.82,98.79,1.21,23.999999999999996,98.83999999999999
Q-learning,q_learning,13,23.564,100.0,29.88,98.77,1.23,23.999999999999996,98.82
Q-learning,q_learning,14,23.616,100.0,30.01,98.2,1.7999999999999998,23.999999999999996,98.29
Q-learning,q_learning,15,23.680999999999997,100.0,29.79,98.74000000000001,1.26,23.999999999999996,98.82
Q-learning,q_learning,16,23.566999999999997,100.0,29.73,98.66,1.34,23.999999999999996,98.8
