episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic
1,43.773462869999506,0.3206361099102787,107,0,0,0,0.0,0.0
2,48.75398879783757,0.31414110928165667,196,0,0,0,0.0,0.0
3,33.36576824135536,0.29137161777665216,96,0,0,0,0.0,0.0
4,30.4404650632404,0.2822015398043267,94,0,0,0,0.0,0.0
5,71.90753257437856,0.2581942446421886,276,0,0,0,0.0,0.0
6,27.59344157660029,0.2448359692299908,88,0,0,0,0.0,0.0
7,27.11652125710673,0.24712173283100128,100,0,0,0,0.0,0.0
8,25.571325561149656,0.28193854591385886,88,0,0,0,0.0,0.0
9,25.80801454538285,0.2503029497213734,103,0,0,0,0.0,0.0
10,24.032594075129246,0.21960482814095236,99,0,0,0,0.0,0.0
11,26.45890267404894,0.22614632407538324,139,0,0,0,0.0,0.0
12,22.51121164011998,0.19578529608370077,99,0,0,0,0.0,0.0
13,56.44659723469687,0.19255923371816028,276,0,0,0,0.0,0.0
14,21.119028262800263,0.20400836771609737,102,0,0,0,0.0,0.0
15,20.71391883748772,0.20426834468702668,103,0,0,0,0.0,0.0
16,38.54778750454778,0.2374817080039909,276,0,0,0,0.0,0.0
17,27.12749643292044,0.1882993942261606,276,0,0,0,0.0,0.0
18,23.717406996524097,0.17723966781319916,276,0,0,0,0.0,0.0
19,18.46644704292271,0.17346559658646585,100,0,0,0,0.0,0.0
20,36.10656410946802,0.2327205520933089,276,0,0,0,0.0,0.0
21,18.96523801419603,0.20358898506352777,95,0,0,0,0.0,0.0
22,22.251498098804525,0.1798204080188188,276,0,0,0,0.0,0.0
23,35.83187704068728,0.1736930570686641,276,0,0,0,0.0,0.0
24,18.609462955024473,0.15942431819216113,107,0,0,0,0.0,0.0
25,23.600418212732848,0.21371272859582002,276,0,0,0,0.0,0.0
26,29.254245523582668,0.1881089113328768,276,0,0,0,0.0,0.0
27,17.42466155949765,0.1666509285569191,106,0,0,0,0.0,0.0
28,21.21041850055108,0.1596588130392458,276,0,0,0,0.0,0.0
29,27.367479644187043,0.188508542092598,276,0,0,0,0.0,0.0
30,32.89623802292191,0.1798652786815512,276,0,0,0,0.0,0.0
31,15.024624748040372,0.17054365349538397,99,0,0,0,0.0,0.0
32,15.332888531456307,0.16302338351034423,103,0,0,0,0.0,0.0
33,43.35159583848591,0.15038001413146654,276,0,0,0,0.0,0.0
34,14.71090582903963,0.14839950057805754,102,0,0,0,0.0,0.0
35,14.82330981914532,0.2311768916625421,103,0,0,0,0.0,0.0
36,15.461632716730577,0.19526811218575427,95,0,0,0,0.0,0.0
37,21.029142529622728,0.17917512494194157,136,0,0,0,0.0,0.0
38,14.752258845152074,0.16981152648988523,95,0,0,0,0.0,0.0
39,13.475847753933943,0.15780572034418583,88,0,0,0,0.0,0.0
40,13.554038688950236,0.14991131552843132,99,0,0,0,0.0,0.0
41,19.930476681384498,0.15034062142713348,276,0,0,0,0.0,0.0
42,30.881591639726146,0.20118015224411004,276,0,0,0,0.0,0.0
43,19.23475537814003,0.17951721700745216,276,0,0,0,0.0,0.0
44,17.671624725502948,0.15773559952883617,276,0,0,0,0.0,0.0
45,13.042144987265733,0.1568430694516259,99,0,0,0,0.0,0.0
46,13.900322412711546,0.14418261231560456,95,0,0,0,0.0,0.0
47,13.708346616850815,0.15027939347844374,95,0,0,0,0.0,0.0
48,13.209192122285957,0.2243697943473325,103,0,0,0,0.0,0.0
49,17.89383825521401,0.17797284206186514,276,0,0,0,0.0,0.0
50,12.78865698790567,0.1521783836185932,100,0,0,0,0.0,0.0
51,34.3522595298723,0.14835236081178638,276,0,0,0,0.0,0.0
52,17.14601690895575,0.1528223650125058,276,0,0,0,0.0,0.0
53,39.24569570746963,0.19463683446140392,276,0,0,0,0.0,0.0
54,12.909722671274936,0.15934140086174012,95,0,0,0,0.0,0.0
55,11.786231321687879,0.15643251340158962,88,0,0,0,0.0,0.0
56,13.585221889775859,0.1456326166881579,107,0,0,0,0.0,0.0
57,17.47862755632065,0.1411874048627805,276,0,0,0,0.0,0.0
58,12.645374945614073,0.13388411172976097,96,0,0,0,0.0,0.0
59,25.774459053746856,0.18890312686562538,276,0,0,0,0.0,0.0
60,11.93651954868893,0.16291212852971226,102,0,0,0,0.0,0.0
61,12.193051351499633,0.1490679195052699,95,0,0,0,0.0,0.0
62,11.325709450542256,0.14627082129432398,88,0,0,0,0.0,0.0
63,11.25693360295872,0.13496251522817396,88,0,0,0,0.0,0.0
64,17.745507939436468,0.13938015934241854,276,0,0,0,0.0,0.0
65,16.794279973168642,0.18358849269756372,276,0,0,0,0.0,0.0
66,28.295790742303407,0.15567609135979327,276,0,0,0,0.0,0.0
67,11.555977403422574,0.1369254332780838,100,0,0,0,0.0,0.0
68,11.821648370188687,0.13834893327010306,95,0,0,0,0.0,0.0
69,27.437756227645494,0.13834593499052353,276,0,0,0,0.0,0.0
70,35.96243398464072,0.1784603385983602,276,0,0,0,0.0,0.0
71,11.611712640246893,0.1767212373828425,103,0,0,0,0.0,0.0
72,25.58864724886128,0.1401939385611078,276,0,0,0,0.0,0.0
73,16.578289305800013,0.1345868997707747,276,0,0,0,0.0,0.0
74,20.980354638290553,0.15299152380422407,276,0,0,0,0.0,0.0
75,16.253647428764065,0.1507591422431279,276,0,0,0,0.0,0.0
76,12.244941216285852,0.1584192808264884,107,0,0,0,0.0,0.0
77,10.933852214485016,0.14342484831809998,100,0,0,0,0.0,0.0
78,15.360768371637725,0.13204478137735007,276,0,0,0,0.0,0.0
79,14.922465437784725,0.16348456499585207,276,0,0,0,0.0,0.0
80,27.068557850967125,0.14345183307170004,276,0,0,0,0.0,0.0
81,15.841856358915143,0.12671510238146436,276,0,0,0,0.0,0.0
82,39.86946896266494,0.1333186101384353,276,0,0,0,0.0,0.0
83,10.392798762540957,0.1988318356770006,88,0,0,0,0.0,0.0
84,32.648617461889955,0.1515439702872781,276,0,0,0,0.0,0.0
85,10.594727413677463,0.14447985250841489,99,0,0,0,0.0,0.0
86,10.662223088605282,0.13506846049544857,102,0,0,0,0.0,0.0
87,10.952291840249652,0.12914992147370388,95,0,0,0,0.0,0.0
88,10.501451892498794,0.1243825748416723,102,0,0,0,0.0,0.0
89,11.533369191175865,0.13344970032154957,107,0,0,0,0.0,0.0
90,10.871639503710945,0.14099464914761484,96,0,0,0,0.0,0.0
91,10.329948813398072,0.17986168339848518,102,0,0,0,0.0,0.0
92,18.46255068753247,0.16591026480107204,276,0,0,0,0.0,0.0
93,18.090724075473645,0.13316202601012977,276,0,0,0,0.0,0.0
94,14.635159110589552,0.12647328334118146,276,0,0,0,0.0,0.0
95,10.961309045525773,0.12275999590444069,96,0,0,0,0.0,0.0
96,15.051588476332919,0.1639977819353774,276,0,0,0,0.0,0.0
97,10.484876620801613,0.13627879022091044,102,0,0,0,0.0,0.0
98,19.465951093931597,0.13091887082850587,276,0,0,0,0.0,0.0
99,10.47867705564367,0.1423344000161273,103,0,0,0,0.0,0.0
100,16.62660347565761,0.13711899192328902,276,0,0,0,0.0,0.0
101,33.421458901415775,0.16459343074888422,276,0,0,0,0.0,0.0
102,10.111185606586647,0.13945397048019895,102,0,0,0,0.0,0.0
103,9.57630982440211,0.1400363343683156,88,0,0,0,0.0,0.0
104,9.95869215065135,0.13047590274728982,102,0,0,0,0.0,0.0
105,10.276953576986276,0.144246732639639,95,0,0,0,0.0,0.0
106,10.228784590620961,0.1427540073269292,95,0,0,0,0.0,0.0
107,10.18111661136655,0.12445552615742934,95,0,0,0,0.0,0.0
108,14.040925184053947,0.1501693558487771,276,0,0,0,0.0,0.0
109,10.31966892995609,0.1558121428048859,96,0,0,0,0.0,0.0
110,9.811424341382644,0.13428897403180598,100,0,0,0,0.0,0.0
111,16.766470294516612,0.1314498715210652,276,0,0,0,0.0,0.0
112,19.010742823764268,0.13402913405519465,276,0,0,0,0.0,0.0
113,15.13021026219807,0.15452977129514667,276,0,0,0,0.0,0.0
114,9.462173588131675,0.13961017410261461,99,0,0,0,0.0,0.0
115,9.52632420546469,0.1393986713141203,100,0,0,0,0.0,0.0
116,9.786623665535057,0.14052449880461942,95,0,0,0,0.0,0.0
117,14.316822981426167,0.1269558012701463,276,0,0,0,0.0,0.0
118,8.918424151757137,0.12230046186596155,88,0,0,0,0.0,0.0
119,9.309951696865248,0.12279279492795467,100,0,0,0,0.0,0.0
120,13.114547167858772,0.15178015134364797,276,0,0,0,0.0,0.0
121,32.72475457041985,0.13310611604348474,276,0,0,0,0.0,0.0
122,13.121952433953572,0.13184354562258374,276,0,0,0,0.0,0.0
123,31.137151352556142,0.13438929833363797,276,0,0,0,0.0,0.0
124,10.190586859257909,0.17215389250037827,107,0,0,0,0.0,0.0
