episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic
1,2.4938862583376578,0.29295336538790795,276,5,271,0,2.4938862583376578,50.73730431637645
2,2.468760852627984,0.23353283841540848,276,5,55,216,2.468760852627984,42.7231827477047
3,2.92425155457668,0.20046051468738577,97,6,91,0,2.92425155457668,36.098066743893845
4,2.8704051578689342,0.20919621222549015,90,6,84,0,2.8704051578689342,29.767776629683194
5,2.80545260987745,0.22521245071003515,93,6,87,0,2.80545260987745,28.98795671580763
6,2.7360645431269512,0.21713937690051702,104,6,98,0,2.7360645431269512,28.128618605376325
7,2.66472054901597,0.23676239476375974,97,6,91,0,2.66472054901597,27.337344631467097
8,2.5995327165717574,0.23011992403219655,97,6,91,0,2.5995327165717574,26.228191429856018
9,2.534551348748266,0.20640142185171856,97,6,91,0,2.534551348748266,25.21464243420924
10,2.4716412619751065,0.17612407229624796,276,6,270,0,2.4716412619751065,59.88856856003699
11,2.31354426666587,0.14950455603716167,276,6,270,0,2.31354426666587,30.318356632657824
12,1.9424059415138175,0.15278315174298873,276,5,271,0,1.9424059415138175,24.84019023435892
13,2.2318652675922386,0.17161584564364782,101,6,95,0,2.2318652675922386,25.145940171583636
14,2.183944523179888,0.1588691043788972,92,6,86,0,2.183944523179888,21.38731738211213
15,2.1395543294588855,0.15638693046068478,107,6,101,0,2.1395543294588855,22.077720527087962
16,2.0981446272290882,0.13854247571960573,93,6,87,0,2.0981446272290882,20.16145992449851
17,2.0589580085027532,0.12939691957500246,99,6,93,0,2.0589580085027532,19.591095473021856
18,2.0221201945758023,0.13135889852824417,276,6,270,0,2.0221201945758023,24.44286379298981
19,1.987033069555568,0.12331417189723641,169,6,163,0,1.987033069555568,30.606595849752463
20,1.7333779415856605,0.20547705550500953,163,6,157,0,1.7333779415856605,19.667792629506355
21,1.705062591204416,0.16888380633748096,276,6,270,0,1.705062591204416,34.947421585976926
22,1.5794432520956985,0.1327446755291759,276,5,54,217,1.5794432520956985,20.595273449449106
23,1.65137308831574,0.14036223027441236,90,6,84,0,1.65137308831574,16.310133234262402
24,1.6319256736090149,0.12748712653087246,108,6,102,0,1.6319256736090149,17.803789264113913
25,1.6129720787579913,0.13338518326961865,93,6,87,0,1.6129720787579913,16.166718818276845
26,1.5978160451090087,0.1858854291933602,276,6,270,0,1.5978160451090087,20.722924235290076
27,1.5858485717173225,0.15112777511672218,101,6,95,0,1.5858485717173225,18.73531037631349
28,1.5742914650485431,0.136415533343519,276,6,270,0,1.5742914650485431,20.62146871855665
29,1.563499737010311,0.14936770409669564,92,6,86,0,1.563499737010311,15.00310040330904
30,1.553532825714477,0.1426909375341906,276,6,270,0,1.553532825714477,19.713283780202495
31,1.5442594520465325,0.17946657784067202,276,6,270,0,1.5442594520465325,25.168183508508204
32,1.5478160653755886,0.1342598509457376,90,6,84,0,1.5478160653755886,13.953554606439218
33,1.5389508844520496,0.12608985188934538,99,6,93,0,1.5389508844520496,14.203803860856297
34,1.5300695603104275,0.14041156926088863,90,6,84,0,1.5300695603104275,13.588499423278929
35,1.5210232375653225,0.11185940586858326,90,6,84,0,1.5210232375653225,13.427023947871078
36,1.5124064579272736,0.12651705992693948,101,6,95,0,1.5124064579272736,16.662695301178854
37,1.5032668312171524,0.12741731708088228,93,6,87,0,1.5032668312171524,13.630051587632208
38,1.4934752459764362,0.16523640397666156,276,6,270,0,1.4934752459764362,19.66162023882883
39,1.2608430825543508,0.15540343080309854,276,5,57,214,1.2608430825543508,17.30839248798597
40,1.4692699329728451,0.12976594787576926,92,6,86,0,1.4692699329728451,12.987893493882654
41,1.458244286221345,0.12268239396567247,98,6,92,0,1.458244286221345,12.732214724791566
42,1.4465770372149822,0.13120928868327453,92,6,86,0,1.4465770372149822,12.726972601666782
43,1.435072046280651,0.1233342431559421,101,6,95,0,1.435072046280651,15.428742252731386
44,1.197706228998225,0.14182792857721233,276,5,271,0,1.197706228998225,26.831171049364407
45,1.410842972554747,0.2001601315062979,92,6,86,0,1.410842972554747,12.213862586038937
46,1.3978567350234408,0.1659434790034657,92,6,86,0,1.3978567350234408,12.023738120059594
47,1.3843188180629302,0.14705662421234275,276,6,270,0,1.3843188180629302,17.05462527918464
48,1.3702716228941179,0.11706684664755627,276,6,270,0,1.3702716228941179,16.40359978329375
49,1.3557809703555928,0.14797053078486436,276,6,270,0,1.3557809703555928,25.086933601469894
50,1.3408393349484098,0.16776286756869443,97,6,91,0,1.3408393349484098,11.5268690708422
51,1.325661506515149,0.16117952302422212,276,6,270,0,1.325661506515149,19.49444515190531
52,1.2988320532237196,0.13421557313547686,104,6,98,0,1.2988320532237196,11.680218143344975
53,1.2874042103339403,0.1282581279035842,101,6,95,0,1.2874042103339403,14.152316382549419
54,1.0887999203460978,0.11814511861598147,276,5,271,0,1.0887999203460978,31.380358335087955
55,1.2661699730229536,0.17093123803320137,276,6,270,0,1.2661699730229536,16.63826695845266
56,1.2535302051880735,0.13846724579731623,90,6,84,0,1.2535302051880735,10.660333231409947
57,1.063108197299264,0.1342942874635691,276,5,271,0,1.063108197299264,25.48487260643889
58,1.2146624816848073,0.1352383236043921,107,6,101,0,1.2146624816848073,11.996644827812775
59,1.1852269262334008,0.11601047110226419,90,6,84,0,1.1852269262334008,10.24430291909517
60,1.160412413716838,0.10996389534810315,92,6,86,0,1.160412413716838,10.44448116077097
61,1.1417007350597652,0.10526238654804702,101,6,95,0,1.1417007350597652,13.025120761087456
62,0.9658167713107311,0.17327917815334554,276,5,59,212,0.9658167713107311,15.910192362577702
63,1.1171196087726485,0.13366359091647292,92,6,86,0,1.1171196087726485,10.301239389334949
64,1.1051082294570447,0.12075872408847015,276,6,270,0,1.1051082294570447,14.929965974440172
65,1.0940781146744993,0.11619268529171096,276,6,270,0,1.0940781146744993,15.204813545726624
66,1.0809686485039842,0.11632525077973953,99,6,93,0,1.0809686485039842,10.241415454414117
67,1.0717015864449015,0.17569374114922856,276,6,180,90,1.0717015864449015,24.36431856751255
68,0.9239338194382406,0.1376259317216666,276,5,271,0,0.9239338194382406,15.250343653073099
69,1.0576870562230538,0.12872654564030792,276,6,270,0,1.0576870562230538,14.782552503093271
70,0.9139775010689477,0.1306977630795344,276,5,271,0,0.9139775010689477,14.12356207563424
71,1.0451218038765222,0.1311629926380904,276,6,270,0,1.0451218038765222,14.295878683978893
72,0.9051452508715424,0.11151189891540486,276,5,57,214,0.9051452508715424,13.893240133737605
73,1.0336397152058134,0.10370187356096247,276,6,270,0,1.0336397152058134,28.71526295804304
74,1.0269820627158965,0.112871110604869,90,6,84,0,1.0269820627158965,9.500986727764252
75,1.0206371556353007,0.17549394839203236,97,6,91,0,1.0206371556353007,9.823084082200845
76,0.8901089793644752,0.14160001372405584,276,5,271,0,0.8901089793644752,13.556149135837307
77,1.0113018289456666,0.1175637656161862,93,6,87,0,1.0113018289456666,9.674298934144463
78,1.0058550761124185,0.10326092189518354,93,6,87,0,1.0058550761124185,9.616306765840012
79,1.0007060621376398,0.10737409298458407,93,6,87,0,1.0007060621376398,9.560545770753295
80,0.995779879593354,0.10387339932147903,99,6,93,0,0.995779879593354,9.6121920817106
81,0.8753425792344426,0.11966300394008125,276,5,271,0,0.8753425792344426,13.147829483704959
82,0.988634924552751,0.18640231287356504,97,6,91,0,0.988634924552751,11.950782010682746
83,0.9886266113546702,0.13539940345546472,92,6,86,0,0.9886266113546702,9.337633883364122
84,0.9850837320401279,0.13613083272582233,101,6,95,0,0.9850837320401279,11.457252217024756
85,0.9815259205510921,0.11917394297062486,276,6,270,0,0.9815259205510921,15.74835178037629
86,0.9779432976978752,0.11168429400357935,90,6,84,0,0.9779432976978752,9.035796953214987
87,0.8657870246580255,0.10989888372790554,276,5,271,0,0.8657870246580255,20.661431937561648
88,0.9581239244509736,0.1694169712261619,107,6,101,0,0.9581239244509736,10.31577439546567
89,0.9563404280281853,0.14136519199372202,276,6,270,0,0.9563404280281853,21.582075565175824
90,0.8472583084743956,0.11403929226208424,276,5,271,0,0.8472583084743956,22.201550396222466
91,0.8890803037826187,0.09909662273644969,276,6,270,0,0.8890803037826187,30.351444725457213
92,0.8899810203627012,0.10430905102722106,93,6,87,0,0.8899810203627012,8.86243941291913
93,0.8908223896840181,0.1884218050373925,90,6,84,0,0.8908223896840181,8.515710004527625
94,0.8915563770827138,0.1327678224314814,276,6,270,0,0.8915563770827138,13.512885790957105
95,0.8909445591925047,0.10692564699042967,276,6,270,0,0.8909445591925047,27.115618557602428
96,0.8913882340583169,0.09976733500758807,90,6,84,0,0.8913882340583169,8.414196797093757
97,0.8916601845361253,0.09691637371466538,107,6,101,0,0.8916601845361253,9.559789012236653
98,0.8916958856662741,0.09170444670718969,97,6,91,0,0.8916958856662741,8.679246903950048
99,0.8915295163326965,0.1500076294566194,276,6,270,0,0.8915295163326965,13.123681424360106
100,0.8911545439610165,0.11191093565329262,276,6,270,0,0.8911545439610165,13.628476472404477
101,0.8905726828089884,0.09706409094666225,276,6,270,0,0.8905726828089884,12.723657708662094
102,0.889771934446025,0.11167503146967594,276,6,270,0,0.889771934446025,13.12076263242457
103,0.8887510114845962,0.12486686014934727,276,6,270,0,0.8887510114845962,14.128938964769024
104,0.8875199568385395,0.0923246622517489,276,6,270,0,0.8875199568385395,12.930105728328233
105,0.8860444773544027,0.09271503593196574,97,6,91,0,0.8860444773544027,8.511401453836983
106,0.8843435585823763,0.08917497819208581,92,6,86,0,0.8843435585823763,8.385716800390837
107,0.8014964312595342,0.10181077284927385,276,5,104,167,0.8014964312595342,13.521847121537983
108,0.7988105241019089,0.12829089256516402,276,5,138,133,0.7988105241019089,12.415996817085762
109,0.8772035127674973,0.10677641836683387,92,6,86,0,0.8772035127674973,8.346282493472412
110,0.7932639421532361,0.09171499441499295,276,5,84,187,0.7932639421532361,12.435072098189622
111,0.8725351612011804,0.08683864546544624,99,6,93,0,0.8725351612011804,8.445545533478741
112,0.8710316030645734,0.09080068671172208,101,6,95,0,0.8710316030645734,9.726748983323457
113,0.8693076779024105,0.12146551508888387,276,6,174,96,0.8693076779024105,17.133901631930687
114,0.8674058050520121,0.11559666917267916,276,6,181,89,0.8674058050520121,15.809068294713393
115,0.7811217430912464,0.11179769199773454,276,5,271,0,0.7811217430912464,13.286814587165624
116,0.8629704664747961,0.09759404660081086,276,6,198,72,0.8629704664747961,16.57126946012039
117,0.8611534257055564,0.1667293861213297,101,6,95,0,0.8611534257055564,9.501931293397208
118,0.8591795233245808,0.12408000975847244,97,6,91,0,0.8591795233245808,8.29501128286033
119,0.8571398942454944,0.10777480700003203,93,6,87,0,0.8571398942454944,8.250905016448558
120,0.7705807051124973,0.09637408370179111,276,5,271,0,0.7705807051124973,16.567630359747472
121,0.8529129504213702,0.09851520960691615,276,6,246,24,0.8529129504213702,16.386365178806333
122,0.8490709706136307,0.08896190532953432,101,6,95,0,0.8490709706136307,9.339282846815149
123,0.8451752003455715,0.12162493649990327,93,6,87,0,0.8451752003455715,8.19420552710225
124,0.7579979967280552,0.13232064856724304,77,5,72,0,0.7579979967280552,9.06053076656802
125,0.8383334884327405,0.1105802027715577,90,6,84,0,0.8383334884327405,7.842126134612529
126,0.8353309187869553,0.12192329027586513,90,6,84,0,0.8353309187869553,7.81994114611687
127,0.8324913027608783,0.10643856279035606,101,6,95,0,0.8324913027608783,9.14665219847659
128,0.8299937535435415,0.09016302588355282,276,6,270,0,0.8299937535435415,14.053273350422403
129,0.8277797653391866,0.09671792103764937,97,6,91,0,0.8277797653391866,10.159016438564986
130,0.8314583258399634,0.09727871312719324,92,6,86,0,0.8314583258399634,8.033157632810125
131,0.7473880942497275,0.11725349913256755,276,5,143,128,0.7473880942497275,22.836274980589366
132,0.8266713486361004,0.11326697322818421,97,6,91,0,0.8266713486361004,9.955312066621568
133,0.8307850577842376,0.10477633162847032,276,6,270,0,0.8307850577842376,15.196965678567565
134,0.8281660205724963,0.09190042171141376,276,6,270,0,0.8281660205724963,13.413829137251652
135,0.8258439874891493,0.08693236079480914,90,6,84,0,0.8258439874891493,7.726029060730408
136,0.8238880767614536,0.11254886207103297,276,6,270,0,0.8238880767614536,31.00434902740178
137,0.8164729370391234,0.12567458838544865,93,6,87,0,0.8164729370391234,7.970336642637672
138,0.8154823368243804,0.11429202300246044,93,6,87,0,0.8154823368243804,7.935285608535064
139,0.8144625598581445,0.11073190779095948,99,6,93,0,0.8144625598581445,7.9924624367782995
140,0.8135244994773698,0.09233263983708068,97,6,91,0,0.8135244994773698,9.68297388363872
141,0.7394173579756245,0.0887539443033545,276,5,271,0,0.7394173579756245,11.335804378565394
142,0.7370886393514196,0.1083407463721823,276,5,271,0,0.7370886393514196,11.247966851275905
143,0.8140040912392995,0.12136919315784209,93,6,87,0,0.8140040912392995,7.829369355069993
144,0.8124039514630771,0.11503528877355085,101,6,95,0,0.8124039514630771,8.740230205926023
145,0.8108295046339948,0.09775929020690745,276,6,252,18,0.8108295046339948,29.149834145483126
146,0.8089312736032452,0.0896819495360985,107,6,101,0,0.8089312736032452,8.827096274933302
147,0.8071123076951012,0.08259425304754815,99,6,93,0,0.8071123076951012,8.0674207297611
