episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,2.99247016040487,0.28046208856818833,107,6,101,0,2.99247016040487,40.78099270959463,0.0,0
2,2.9625411623006532,0.28366738703192734,246,6,240,0,2.9625411623006532,46.72144327130788,0.0,0
3,2.9131000366929647,0.24237115137899914,96,6,90,0,2.9131000366929647,30.69983764378272,0.0,0
4,2.855693541428011,0.2380029912505831,105,6,99,0,2.855693541428011,29.290510506477705,0.0,0
5,2.7905073150933717,0.22563993171291444,103,6,97,0,2.7905073150933717,26.56081876048367,0.0,0
6,2.7232294564339785,0.21337257054719058,88,6,82,0,2.7232294564339785,24.394639162391947,0.0,0
7,2.6545350518180304,0.2218866816908121,100,6,94,0,2.6545350518180304,24.06892697912777,0.0,0
8,2.587783937446497,0.20528057488528165,88,6,82,0,2.587783937446497,22.62286644420366,0.0,0
9,2.522164541733923,0.24509001819832812,103,6,97,0,2.522164541733923,22.966444012716586,0.0,0
10,2.459913148334856,0.2446765856008337,99,6,93,0,2.459913148334856,21.24981140616328,0.0,0
11,2.3996699895478524,0.186359745139877,276,6,270,0,2.3996699895478524,27.052100008688413,0.0,0
12,2.343092839021629,0.15419676275265337,99,6,93,0,2.343092839021629,19.711709318114,0.0,0
13,1.5177650683475439,0.15460228277505308,276,4,217,55,1.5177650683475439,65.8757208592067,0.0,0
14,2.2532883649915787,0.1555058264410963,102,6,96,0,2.2532883649915787,19.211861936624175,0.0,0
15,2.203887725606932,0.15920252374653676,103,6,97,0,2.203887725606932,18.84065140662217,0.0,0
16,2.1576366707663155,0.2015896497051353,276,6,270,0,2.1576366707663155,23.251128381841763,0.0,0
17,2.112893516306851,0.15343427998216255,276,6,270,0,2.112893516306851,25.549690215579655,0.0,0
18,2.0707703293404682,0.1329129039971293,276,6,270,0,2.0707703293404682,23.238647180293185,0.0,0
19,2.030426068899187,0.12730011090636253,100,6,94,0,2.030426068899187,17.03380091417832,0.0,0
20,1.9918623210308606,0.1836619597684214,276,6,270,0,1.9918623210308606,22.06170929859385,0.0,0
21,1.9544477713381734,0.1628951990290692,95,6,89,0,1.9544477713381734,17.34302957264436,0.0,0
22,1.930802344022213,0.130148080110118,276,6,270,0,1.930802344022213,20.651013599001615,0.0,0
23,1.2511963459505542,0.1245025954330745,276,4,272,0,1.2511963459505542,18.5918786273047,0.0,0
24,1.875400057202457,0.11930892915926247,107,6,101,0,1.875400057202457,17.123588528791714,0.0,0
25,1.8433169523072612,0.18779146352755852,276,6,270,0,1.8433169523072612,19.928744682851484,0.0,0
26,1.81186614458599,0.15232102481686338,98,6,92,0,1.81186614458599,16.51158998866808,0.0,0
27,1.793182127177268,0.12252689020681208,276,6,270,0,1.793182127177268,19.79143910594344,0.0,0
28,1.763713244460215,0.11108876305861749,276,6,270,0,1.763713244460215,19.01244079174345,0.0,0
29,1.4588281192042158,0.17341421371784763,276,5,271,0,1.4588281192042158,42.91847081416049,0.0,0
30,1.7131379393341584,0.1526322045997865,276,6,270,0,1.7131379393341584,28.56448520346633,0.0,0
31,1.68735285623752,0.13419893158204627,99,6,93,0,1.68735285623752,13.418408440500693,0.0,0
32,1.6623708678082576,0.1141199049295731,103,6,97,0,1.6623708678082576,13.759851286246349,0.0,0
33,1.6382725174249888,0.11576374563510003,276,6,270,0,1.6382725174249888,18.11401459941662,0.0,0
34,1.6148665846597816,0.10852414428019057,102,6,96,0,1.6148665846597816,13.04231154750165,0.0,0
35,1.5917958514895598,0.20870870279455647,103,6,97,0,1.5917958514895598,13.196292428975845,0.0,0
36,1.5683268748320918,0.1748041364707445,95,6,89,0,1.5683268748320918,13.957230723495726,0.0,0
37,1.2602991178402017,0.14859957821094072,104,5,99,0,1.2602991178402017,24.095147172671503,0.0,0
38,1.5442320905989821,0.160346336035352,95,6,89,0,1.5442320905989821,13.60088715444608,0.0,0
39,1.5329332059294967,0.138456175273115,88,6,82,0,1.5329332059294967,12.090447718921256,0.0,0
40,1.5088987328988133,0.12023448146352864,99,6,93,0,1.5088987328988133,12.18325114757381,0.0,0
41,1.4855292679852774,0.1095851904888084,276,6,270,0,1.4855292679852774,17.098597394682837,0.0,0
42,1.4627812626296088,0.16064889904489552,276,6,270,0,1.4627812626296088,16.524188793369692,0.0,0
43,1.2313045543326844,0.14274668812319852,276,5,271,0,1.2313045543326844,44.78343960150132,0.0,0
44,1.4245175547577744,0.12198543834729471,276,6,270,0,1.4245175547577744,17.463981615152072,0.0,0
45,1.4032655476883968,0.10879605368833349,99,6,93,0,1.4032655476883968,11.511378885204618,0.0,0
46,1.381791616806291,0.10757114855866683,95,6,89,0,1.381791616806291,12.785247855224751,0.0,0
47,1.3725227639018927,0.1050502445352705,95,6,89,0,1.3725227639018927,12.625634630024603,0.0,0
48,1.3632199068365667,0.1925123723820575,103,6,97,0,1.3632199068365667,11.835837112374568,0.0,0
49,1.3410414707210196,0.1531575226319441,276,6,270,0,1.3410414707210196,19.207770374255745,0.0,0
50,1.3199129932696303,0.12238741025328637,100,6,94,0,1.3199129932696303,11.460821580753688,0.0,0
51,1.3000043540043893,0.1167939966139586,276,6,270,0,1.3000043540043893,16.533789303977013,0.0,0
52,1.281219298627009,0.11182876684419486,276,6,270,0,1.281219298627009,15.965803742900276,0.0,0
53,1.2627651014912198,0.18105423755511857,276,6,270,0,1.2627651014912198,18.61245876143597,0.0,0
54,1.2569165935870765,0.1359733460765136,95,6,89,0,1.2569165935870765,11.954640436099288,0.0,0
55,1.25143202175182,0.13106934480707755,88,6,82,0,1.25143202175182,10.612204318543258,0.0,0
56,1.2328986867864298,0.12329725398917064,107,6,101,0,1.2328986867864298,12.524222120131002,0.0,0
57,1.0730692722750885,0.13043880171102026,276,5,271,0,1.0730692722750885,31.6144000333188,0.0,0
58,1.2016673181806645,0.1262186982203275,96,6,90,0,1.2016673181806645,11.673324213119551,0.0,0
59,0.8158754708521225,0.16387521019340426,276,4,229,43,0.8158754708521225,42.8525206635268,0.0,0
60,1.1906338612760456,0.1234960879619215,102,6,96,0,1.1906338612760456,10.64485384247453,0.0,0
61,1.1740786076571859,0.10781532055453251,95,6,89,0,1.1740786076571859,11.324814108328477,0.0,0
62,1.1715313633174116,0.11205736014314673,88,6,82,0,1.1715313633174116,10.138504798442694,0.0,0
63,1.1560828597596944,0.10538978646086021,88,6,82,0,1.1560828597596944,10.08162425057365,0.0,0
64,1.1418686782719343,0.11227964145549829,276,6,270,0,1.1418686782719343,14.774210029058612,0.0,0
65,1.1286367373403718,0.14762428581066753,276,6,270,0,1.1286367373403718,26.1124703033967,0.0,0
66,0.9923437452884555,0.12068053661589173,276,5,271,0,0.9923437452884555,27.497955444723765,0.0,0
67,1.1061807145289022,0.09976685114204883,100,6,94,0,1.1061807145289022,10.374293864105395,0.0,0
