episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,0.0,0.25175909662916174,276,0,0,0,0.0,0.0,0.0,0
2,0.0,0.2361243632171423,124,0,0,0,0.0,0.0,0.0,0
3,0.0,0.22237558132901633,97,0,0,0,0.0,0.0,0.0,0
4,0.0,0.22395695630047058,90,0,0,0,0.0,0.0,0.0,0
5,0.0,0.22997232446426985,93,0,0,0,0.0,0.0,0.0,0
6,0.0,0.21951547551034678,99,0,0,0,0.0,0.0,0.0,0
7,0.0,0.22531233466777606,97,0,0,0,0.0,0.0,0.0,0
8,0.0,0.21525530325076014,97,0,0,0,0.0,0.0,0.0,0
9,0.0,0.22516147984364598,97,0,0,0,0.0,0.0,0.0,0
10,0.0,0.19114240150952685,276,0,0,0,0.0,0.0,0.0,0
11,0.0,0.14998855833234132,276,0,0,0,0.0,0.0,0.0,0
12,0.0,0.1389413579683943,97,0,0,0,0.0,0.0,0.0,0
13,0.0,0.14128825931560876,101,0,0,0,0.0,0.0,0.0,0
14,0.0,0.15603646716993788,92,0,0,0,0.0,0.0,0.0,0
15,0.0,0.1620066046854046,107,0,0,0,0.0,0.0,0.0,0
16,0.0,0.1963203957965297,93,0,0,0,0.0,0.0,0.0,0
17,0.0,0.16268224743279544,99,0,0,0,0.0,0.0,0.0,0
18,0.0,0.15095225264235299,101,0,0,0,0.0,0.0,0.0,0
19,0.0,0.13484953573324543,276,0,0,0,0.0,0.0,0.0,0
20,0.0,0.11804189267926492,104,0,0,0,0.0,0.0,0.0,0
21,0.0,0.126509307573239,276,0,0,0,0.0,0.0,0.0,0
22,0.0,0.19267180481034776,276,0,0,0,0.0,0.0,0.0,0
23,0.0,0.14467922217316098,90,0,0,0,0.0,0.0,0.0,0
24,0.0,0.13398114543246187,276,0,0,0,0.0,0.0,0.0,0
25,0.0,0.10846963775870593,276,0,0,0,0.0,0.0,0.0,0
26,0.0,0.1644364258247441,276,0,0,0,0.0,0.0,0.0,0
27,0.0,0.15528659242214543,101,0,0,0,0.0,0.0,0.0,0
