episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,1.4956327158059124,0.5194622192639804,276,3,273,0,1.4956327158059124,102.0320816707331,0.0,0
2,0.4174971702648525,0.5010912660509348,276,1,275,0,0.4174971702648525,100.8150685804545,0.0,0
3,0.42178031816087874,0.46469464158450347,276,1,275,0,0.42178031816087874,105.00225846604349,0.0,0
4,1.1528776606253417,0.3666543493155336,276,3,273,0,1.1528776606253417,97.2878227159129,0.0,0
5,0.3193351167285289,0.2501735416227493,276,1,275,0,0.3193351167285289,79.41778627597036,0.0,0
6,0.45604667600525367,0.2305398119100626,276,1,275,0,0.45604667600525367,69.23274029791688,0.0,0
7,0.6860209801975689,0.2327317265469743,276,3,273,0,0.6860209801975689,57.90594799568624,0.0,0
8,1.009497973200682,0.1339268665018397,276,3,273,0,1.009497973200682,71.44857791036421,0.0,0
9,0.0,0.09865622005452389,276,0,276,0,0.0,82.24669113329905,0.0,0
10,1.0806682366483815,0.09083613154370392,276,3,273,0,1.0806682366483815,69.86149328339201,0.0,0
11,0.4629906947875271,0.08824485922367245,276,2,274,0,0.4629906947875271,51.337856691879324,0.0,0
12,0.4652381522367298,0.032863393503551684,276,2,274,0,0.4652381522367298,101.7139331928539,0.0,0
13,0.615887082724257,0.031224449347380712,276,3,273,0,0.615887082724257,47.69125583106918,0.0,0
14,0.38164027634344155,0.02933684282976648,276,2,274,0,0.38164027634344155,20.947170948291774,0.0,0
15,0.23547642334024613,0.025322696703580626,276,2,274,0,0.23547642334024613,45.15237467429312,0.0,0
16,0.15421971257042405,0.022063098636968738,276,2,274,0,0.15421971257042405,48.51164406545465,0.0,0
17,0.2121282839283708,0.02037490506494499,276,3,273,0,0.2121282839283708,41.79181990966224,0.0,0
18,0.12509294516494585,0.019846051651309583,276,2,274,0,0.12509294516494585,21.536332940424117,0.0,0
19,0.220892050273224,0.0181250955261614,276,3,273,0,0.220892050273224,30.491571897826702,0.0,0
20,0.20224780632606473,0.016993031158800357,276,3,273,0,0.20224780632606473,18.208834037039235,0.0,0
21,0.18877247595627616,0.016612824508110465,276,3,273,0,0.18877247595627616,29.14333193569117,0.0,0
22,0.19733115363709006,0.015614213145243517,276,3,273,0,0.19733115363709006,29.658561137660847,0.0,0
23,0.21036539561749856,0.01530102040429694,276,3,273,0,0.21036539561749856,22.128667384683148,0.0,0
24,0.21892086355970872,0.01360239918289733,276,3,273,0,0.21892086355970872,19.769890322084333,0.0,0
25,0.21658147647958045,0.012551335671889608,276,3,273,0,0.21658147647958045,14.1648107128159,0.0,0
26,0.2885986363807205,0.014477928412025389,276,3,273,0,0.2885986363807205,19.739862213939475,0.0,0
27,0.16680563188568676,0.013714453183532949,276,2,274,0,0.16680563188568676,17.540177010899896,0.0,0
28,0.1589559544345913,0.012474722888631126,276,2,274,0,0.1589559544345913,10.302727368642266,0.0,0
29,0.16576430451457594,0.011946226741808156,276,2,274,0,0.16576430451457594,12.807567010823922,0.0,0
30,0.21071157439920774,0.014665279108895988,276,3,273,0,0.21071157439920774,18.535016955956678,0.0,0
31,0.1241295392958648,0.01226230327417885,276,1,275,0,0.1241295392958648,17.399399883891558,0.0,0
32,0.163249766924665,0.0117749968725864,276,2,274,0,0.163249766924665,19.699826800408278,0.0,0
33,0.1866635696697992,0.01274287415013743,276,3,273,0,0.1866635696697992,53.812316299053286,0.0,0
34,0.19589431890973183,0.012085158249660246,276,2,274,0,0.19589431890973183,19.383449501886133,0.0,0
35,0.16245600393459997,0.011676004488844479,276,2,274,0,0.16245600393459997,19.44352973737044,0.0,0
36,0.17501865433149016,0.011363880293767737,276,3,273,0,0.17501865433149016,14.899693825971138,0.0,0
37,0.1741563879478868,0.01457992665456149,276,3,273,0,0.1741563879478868,18.973967448291482,0.0,0
38,0.18445453465343223,0.013315185592374832,276,3,273,0,0.18445453465343223,17.796944691161904,0.0,0
39,0.08879248485611879,0.012216905315838538,276,1,275,0,0.08879248485611879,21.12382941062286,0.0,0
40,0.13971277350081407,0.012878754257184008,276,2,274,0,0.13971277350081407,13.207213797030427,0.0,0
41,0.8260631016434274,0.01537010653713799,276,4,272,0,0.8260631016434274,54.09172857514724,0.0,0
42,0.34674413169264695,0.0135969026469747,276,2,274,0,0.34674413169264695,20.115077064734773,0.0,0
43,0.40148210105477755,0.012883566780542225,276,3,273,0,0.40148210105477755,17.85529767955703,0.0,0
44,0.4032838128984722,0.015537158252023484,276,3,273,0,0.4032838128984722,18.278961716324822,0.0,0
45,0.4049644824448154,0.013664393496794113,276,3,273,0,0.4049644824448154,20.653188521667857,0.0,0
46,0.33245009409525045,0.01343822787326855,276,2,274,0,0.33245009409525045,17.214573525621812,0.0,0
47,0.32617259480833405,0.012747308737058462,276,2,274,0,0.32617259480833405,18.87195376460794,0.0,0
48,0.3789427979281627,0.015775051393100748,276,3,273,0,0.3789427979281627,18.142041397108564,0.0,0
49,0.3145873955255382,0.013439623060285288,276,2,274,0,0.3145873955255382,21.40301149703082,0.0,0
50,0.74128727951519,0.013246547697327924,276,4,272,0,0.74128727951519,24.748361729842987,0.0,0
51,0.23212194757917876,0.012631461385340579,276,1,275,0,0.23212194757917876,17.307398217505163,0.0,0
52,0.22539801341479057,0.01230646562728815,276,1,275,0,0.22539801341479057,14.603220686296241,0.0,0
53,0.2185232577338196,0.011034505534579681,276,1,275,0,0.2185232577338196,13.275267545934527,0.0,0
54,0.211508693087106,0.01087033168743432,276,1,275,0,0.211508693087106,12.469899574211091,0.0,0
55,0.3396150431943358,0.011803898501439371,276,3,273,0,0.3396150431943358,15.858462916571424,0.0,0
56,0.30857965784462216,0.010792466909692123,276,3,273,0,0.30857965784462216,15.987160250702924,0.0,0
57,0.11755616657640636,0.01093641466602845,276,1,275,0,0.11755616657640636,13.190309482525457,0.0,0
58,0.08117091915327847,0.011485011230789773,276,1,275,0,0.08117091915327847,8.3307154578276,0.0,0
59,0.2218272018611609,0.012632807637429863,276,3,273,0,0.2218272018611609,15.138053287310568,0.0,0
60,0.22273289895373197,0.011363132013196962,276,3,273,0,0.22273289895373197,13.925824667110026,0.0,0
61,0.22540529506430051,0.012007139864431667,276,3,273,0,0.22540529506430051,12.169512281977868,0.0,0
62,0.09553291974151398,0.012026607821547035,276,1,275,0,0.09553291974151398,10.244000782690811,0.0,0
63,0.09765414238371206,0.011673307128965962,276,1,275,0,0.09765414238371206,7.62319537192182,0.0,0
64,0.09907747099068194,0.010918000434606296,276,1,275,0,0.09907747099068194,8.37957041485843,0.0,0
65,0.09979682885636848,0.0117334183457348,276,1,275,0,0.09979682885636848,8.206539735686139,0.0,0
66,0.09894583673474183,0.011640768290659331,276,1,275,0,0.09894583673474183,8.411228586092735,0.0,0
67,0.09857087307883151,0.010628879667543199,276,1,275,0,0.09857087307883151,7.878082672473823,0.0,0
68,0.09773521864737296,0.010497530281165804,276,1,275,0,0.09773521864737296,8.499557122259198,0.0,0
69,0.09655087237880279,0.012020941560521074,276,1,275,0,0.09655087237880279,7.432727230714382,0.0,0
70,0.09587736585677341,0.012436727937513395,276,1,275,0,0.09587736585677341,23.667060566987924,0.0,0
71,0.0948841608267996,0.01135418615033985,276,1,275,0,0.0948841608267996,13.292603698974656,0.0,0
72,0.09503840985763655,0.012130798650500567,276,1,275,0,0.09503840985763655,13.369365578930418,0.0,0
73,0.09522456971667247,0.013307864312082529,276,1,275,0,0.09522456971667247,11.136192483332506,0.0,0
74,0.09461293536338763,0.011867098441091028,276,1,275,0,0.09461293536338763,10.351721837647315,0.0,0
75,0.09391165011408807,0.012220953663716606,276,1,275,0,0.09391165011408807,10.308780148355194,0.0,0
76,0.09266896177087547,0.012160236766710337,276,1,275,0,0.09266896177087547,10.384975190712014,0.0,0
77,0.09077703284447339,0.013018728588181346,276,1,275,0,0.09077703284447339,12.201061514766465,0.0,0
78,0.0877493942871844,0.012016982445830776,276,1,275,0,0.0877493942871844,10.482837302715645,0.0,0
79,0.08500212553157947,0.012834311555733608,276,1,275,0,0.08500212553157947,11.51485904371588,0.0,0
80,0.08255235619465534,0.011382310900945162,276,1,275,0,0.08255235619465534,10.646772426416753,0.0,0
81,0.08048830455368049,0.011001662683565224,276,1,275,0,0.08048830455368049,24.084398077668855,0.0,0
82,0.10636267168675366,0.011525782559107503,276,1,275,0,0.10636267168675366,21.470640468899617,0.0,0
83,0.08270546312657465,0.010741699782227153,276,1,275,0,0.08270546312657465,11.26871230972093,0.0,0
84,0.08438909526870035,0.010903603277520102,276,1,275,0,0.08438909526870035,9.965723227019845,0.0,0
85,0.08556465579935599,0.009654304653784071,276,1,275,0,0.08556465579935599,9.408719442371082,0.0,0
86,0.07988836795483806,0.009613361013918251,276,1,275,0,0.07988836795483806,8.610658336913286,0.0,0
87,0.07955684724330198,0.009988778533980898,276,1,275,0,0.07955684724330198,9.19063750525892,0.0,0
88,0.0,0.011851334735157265,276,0,276,0,0.0,31.966907997181206,0.0,0
89,0.08152744323894315,0.010889927478696125,276,1,275,0,0.08152744323894315,19.571382086744833,0.0,0
90,0.0,0.009908651335812781,276,0,276,0,0.0,20.209608024936657,0.0,0
91,0.08049687888830251,0.011312322777129062,276,1,275,0,0.08049687888830251,19.84183162632919,0.0,0
92,0.08140687926642035,0.01022665542077975,276,1,275,0,0.08140687926642035,12.974833548555951,0.0,0
93,0.08301224773773362,0.010182065114824345,276,1,275,0,0.08301224773773362,17.787477682450387,0.0,0
94,0.08368979698249426,0.01125588143359114,276,1,275,0,0.08368979698249426,13.178241456950394,0.0,0
95,0.08432972129659531,0.011399986887134719,276,1,275,0,0.08432972129659531,12.174382412184965,0.0,0
96,0.08436440621316817,0.010945484659675023,276,1,275,0,0.08436440621316817,14.91744949544106,0.0,0
97,0.07996402107774678,0.010691002434780956,276,1,275,0,0.07996402107774678,11.523120296995666,0.0,0
