episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,0.49728320637062845,0.5313718857216663,276,1,275,0,0.49728320637062845,78.81619084884969,0.0,0
2,0.825618374064577,0.49811508837223484,276,2,274,0,0.825618374064577,81.42948981914289,0.0,0
3,0.0,0.4461267124321582,276,0,276,0,0.0,109.60312897043674,0.0,0
4,0.6963512893149595,0.38255383415768546,276,2,274,0,0.6963512893149595,72.36307114628477,0.0,0
5,1.2006995273448668,0.2575123795591619,276,3,273,0,1.2006995273448668,91.59073099124026,0.0,0
6,1.0382443052436878,0.23650699173626694,276,3,273,0,1.0382443052436878,78.65804805264712,0.0,0
7,1.3446125044440036,0.23945046173057694,276,3,273,0,1.3446125044440036,81.92880738661924,0.0,0
8,0.45535340430406257,0.14317506075283323,276,1,275,0,0.45535340430406257,70.87086643485979,0.0,0
9,0.9740899536842753,0.11172925985917664,276,3,273,0,0.9740899536842753,73.93095556937197,0.0,0
10,0.43582818560926184,0.1001607709955694,276,2,274,0,0.43582818560926184,90.12553842341995,0.0,0
11,0.42592905595612096,0.08721498344970895,276,2,274,0,0.42592905595612096,65.3645827180451,0.0,0
12,0.4057432498641903,0.04063128231538703,276,2,274,0,0.4057432498641903,53.92383429251202,0.0,0
13,0.3679581069192591,0.03545436160503954,276,2,274,0,0.3679581069192591,30.192180420373177,0.0,0
14,0.0,0.03342665200783075,276,0,276,0,0.0,88.73510501778149,0.0,0
15,0.6954950433913806,0.03217132540716641,276,3,273,0,0.6954950433913806,67.10570585026268,0.0,0
16,0.3674986854214457,0.02884113263554763,276,3,273,0,0.3674986854214457,52.973714227153735,0.0,0
17,0.8394120228666864,0.026896654381889148,276,4,272,0,0.8394120228666864,50.90876751996976,0.0,0
18,0.219771844521922,0.024701569813128182,276,2,274,0,0.219771844521922,25.725374909288394,0.0,0
19,0.1726278509569436,0.028845369498636843,276,2,274,0,0.1726278509569436,26.5649686777632,0.0,0
20,0.17268707224195448,0.026279632913191683,276,1,275,0,0.17268707224195448,17.427366490970886,0.0,0
21,0.04375758473424649,0.026854160373382594,276,1,275,0,0.04375758473424649,9.67737559465821,0.0,0
22,0.029133801009735928,0.029154104815013168,276,1,275,0,0.029133801009735928,7.815015739627644,0.0,0
23,0.10882605117405769,0.022850234925315,276,2,274,0,0.10882605117405769,18.38184222748049,0.0,0
24,0.11479676443955267,0.02122795239320376,276,2,274,0,0.11479676443955267,10.528395132198876,0.0,0
25,0.031993750075367915,0.020978431281485202,276,1,275,0,0.031993750075367915,8.025235574565732,0.0,0
26,0.027326032556233136,0.01955906599355133,276,1,275,0,0.027326032556233136,7.403121979197411,0.0,0
27,0.0263586950095294,0.018312728413772107,276,1,275,0,0.0263586950095294,7.428406041837666,0.0,0
28,0.10410160178672043,0.017468624970997156,276,2,274,0,0.10410160178672043,15.958890887539312,0.0,0
29,0.12910901163154104,0.016671172542281558,276,2,274,0,0.12910901163154104,21.13799077996393,0.0,0
30,0.12093015341722028,0.01676454345115285,276,2,274,0,0.12093015341722028,16.001232482632595,0.0,0
31,0.08734002398277958,0.014071277933249223,276,2,274,0,0.08734002398277958,15.080069959296678,0.0,0
32,0.0508428439002408,0.014169519743544684,276,1,275,0,0.0508428439002408,30.22708089022487,0.0,0
