episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,0.0,0.5315294414623708,276,0,0,0,0.0,0.0,0.0,0
2,0.0,0.4978210739251496,276,0,0,0,0.0,0.0,0.0,0
3,0.0,0.44660928163785435,276,0,0,0,0.0,0.0,0.0,0
4,0.0,0.3780689296866025,276,0,0,0,0.0,0.0,0.0,0
5,0.0,0.24758555691527284,276,0,0,0,0.0,0.0,0.0,0
6,0.0,0.23971809187661047,276,0,0,0,0.0,0.0,0.0,0
7,0.0,0.23410909630331225,276,0,0,0,0.0,0.0,0.0,0
8,0.0,0.1363890663774657,276,0,0,0,0.0,0.0,0.0,0
9,0.0,0.10646152978533528,276,0,0,0,0.0,0.0,0.0,0
10,0.0,0.0947874893663802,276,0,0,0,0.0,0.0,0.0,0
11,0.0,0.08011706674174554,276,0,0,0,0.0,0.0,0.0,0
12,0.0,0.033247993810210326,276,0,0,0,0.0,0.0,0.0,0
13,0.0,0.030126312113218548,276,0,0,0,0.0,0.0,0.0,0
14,0.0,0.028950577696272427,276,0,0,0,0.0,0.0,0.0,0
15,0.0,0.023927139381513647,276,0,0,0,0.0,0.0,0.0,0
16,0.0,0.01951103406938036,276,0,0,0,0.0,0.0,0.0,0
17,0.0,0.018602123848446037,276,0,0,0,0.0,0.0,0.0,0
18,0.0,0.017156580046318686,276,0,0,0,0.0,0.0,0.0,0
19,0.0,0.01399838340981607,276,0,0,0,0.0,0.0,0.0,0
20,0.0,0.012965531085037452,276,0,0,0,0.0,0.0,0.0,0
21,0.0,0.012137058521688416,276,0,0,0,0.0,0.0,0.0,0
22,0.0,0.01135351578451936,276,0,0,0,0.0,0.0,0.0,0
23,0.0,0.008293069502595219,276,0,0,0,0.0,0.0,0.0,0
24,0.0,0.008062793421930215,276,0,0,0,0.0,0.0,0.0,0
25,0.0,0.0073056538906488295,276,0,0,0,0.0,0.0,0.0,0
26,0.0,0.005743991574306257,276,0,0,0,0.0,0.0,0.0,0
27,0.0,0.004625711633918294,276,0,0,0,0.0,0.0,0.0,0
28,0.0,0.0046035103698976445,276,0,0,0,0.0,0.0,0.0,0
29,0.0,0.004618927410405561,276,0,0,0,0.0,0.0,0.0,0
30,0.0,0.004731947801622521,276,0,0,0,0.0,0.0,0.0,0
31,0.0,0.0044622215977195056,276,0,0,0,0.0,0.0,0.0,0
32,0.0,0.0044017146641820454,276,0,0,0,0.0,0.0,0.0,0
33,0.0,0.005032786271919537,276,0,0,0,0.0,0.0,0.0,0
34,0.0,0.0055372126052911945,276,0,0,0,0.0,0.0,0.0,0
35,0.0,0.005357825002410327,276,0,0,0,0.0,0.0,0.0,0
36,0.0,0.004951898880012712,276,0,0,0,0.0,0.0,0.0,0
37,0.0,0.0062498020951339195,276,0,0,0,0.0,0.0,0.0,0
38,0.0,0.005471007522209075,276,0,0,0,0.0,0.0,0.0,0
39,0.0,0.005055407279818926,276,0,0,0,0.0,0.0,0.0,0
40,0.0,0.005188224062768985,276,0,0,0,0.0,0.0,0.0,0
41,0.0,0.005719529242133317,276,0,0,0,0.0,0.0,0.0,0
42,0.0,0.005299926571804436,276,0,0,0,0.0,0.0,0.0,0
43,0.0,0.005019411748356145,276,0,0,0,0.0,0.0,0.0,0
44,0.0,0.005672104732619356,276,0,0,0,0.0,0.0,0.0,0
45,0.0,0.005547108426453897,276,0,0,0,0.0,0.0,0.0,0
46,0.0,0.005013576375516266,276,0,0,0,0.0,0.0,0.0,0
47,0.0,0.004618709754246031,276,0,0,0,0.0,0.0,0.0,0
48,0.0,0.006563023389890736,276,0,0,0,0.0,0.0,0.0,0
49,0.0,0.004976079793329742,276,0,0,0,0.0,0.0,0.0,0
50,0.0,0.004317834807991766,276,0,0,0,0.0,0.0,0.0,0
51,0.0,0.0056815399076330705,276,0,0,0,0.0,0.0,0.0,0
52,0.0,0.0061920892271766625,276,0,0,0,0.0,0.0,0.0,0
53,0.0,0.005739612730921826,276,0,0,0,0.0,0.0,0.0,0
54,0.0,0.005422462617296834,276,0,0,0,0.0,0.0,0.0,0
55,0.0,0.005851838477057121,276,0,0,0,0.0,0.0,0.0,0
56,0.0,0.005203928036675991,276,0,0,0,0.0,0.0,0.0,0
57,0.0,0.004996142825921593,276,0,0,0,0.0,0.0,0.0,0
