episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,41.70156536417772,0.28009489689971884,102,0,0,0,0.0,0.0,0.0,0
2,34.33056770048793,0.31292660615366436,92,0,0,0,0.0,0.0,0.0,0
3,32.27757049225487,0.29900895333153077,87,0,0,0,0.0,0.0,0.0,0
4,31.64699976999617,0.27353763799456987,102,0,0,0,0.0,0.0,0.0,0
5,32.90722588080691,0.26183274221055364,98,0,0,0,0.0,0.0,0.0,0
6,29.024480311373505,0.26094897853003607,90,0,0,0,0.0,0.0,0.0,0
7,27.811931396799768,0.2617811209625668,90,0,0,0,0.0,0.0,0.0,0
8,27.24395094296866,0.2463661640227496,91,0,0,0,0.0,0.0,0.0,0
9,25.58944293949966,0.24653400681661755,89,0,0,0,0.0,0.0,0.0,0
10,25.050444270236287,0.22558893920744166,102,0,0,0,0.0,0.0,0.0,0
11,25.238014843322826,0.26721931818653555,102,0,0,0,0.0,0.0,0.0,0
12,23.128906802089986,0.2617738169025291,88,0,0,0,0.0,0.0,0.0,0
13,22.809360777916687,0.23058458821227154,96,0,0,0,0.0,0.0,0.0,0
14,22.68141069409005,0.22647452845678226,91,0,0,0,0.0,0.0,0.0,0
15,29.608279608060446,0.22449150816469954,276,0,0,0,0.0,0.0,0.0,0
16,77.422493113738,0.21888042478889658,276,0,0,0,0.0,0.0,0.0,0
17,20.64497465274796,0.21104921447113156,96,0,0,0,0.0,0.0,0.0,0
18,20.31965301625106,0.2656066280272272,90,0,0,0,0.0,0.0,0.0,0
19,19.850261044156568,0.24589134007692337,90,0,0,0,0.0,0.0,0.0,0
20,44.79648161883628,0.22767912029572154,276,0,0,0,0.0,0.0,0.0,0
21,24.485171873459976,0.1932197635102531,276,0,0,0,0.0,0.0,0.0,0
22,18.74001971439903,0.18547973869478002,102,0,0,0,0.0,0.0,0.0,0
23,22.98720660688349,0.21797496374642503,276,0,0,0,0.0,0.0,0.0,0
24,22.455023244058616,0.22389067817425382,276,0,0,0,0.0,0.0,0.0,0
25,17.921141476911146,0.19504226393559398,102,0,0,0,0.0,0.0,0.0,0
26,21.952600524747503,0.17743582713107267,276,0,0,0,0.0,0.0,0.0,0
27,19.986499280147104,0.17265669743017276,98,0,0,0,0.0,0.0,0.0,0
28,30.291783796296798,0.21292263598761696,276,0,0,0,0.0,0.0,0.0,0
29,17.14682888712558,0.23089456345353807,91,0,0,0,0.0,0.0,0.0,0
30,16.616517049788992,0.19945190474390984,102,0,0,0,0.0,0.0,0.0,0
31,18.938874127859346,0.1883909708383132,98,0,0,0,0.0,0.0,0.0,0
32,16.41467487143688,0.18827161850298152,102,0,0,0,0.0,0.0,0.0,0
33,15.943829878206214,0.1870649636619621,90,0,0,0,0.0,0.0,0.0,0
34,31.79598458936661,0.1710263269049102,276,0,0,0,0.0,0.0,0.0,0
35,15.245233449780619,0.17597957742823797,88,0,0,0,0.0,0.0,0.0,0
36,15.827799733127222,0.24921137507599178,101,0,0,0,0.0,0.0,0.0,0
37,15.095555197724353,0.23914467496797442,96,0,0,0,0.0,0.0,0.0,0
