episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,0.0,0.23861664299871407,102,0,0,0,0.0,0.0,0.0,0
2,0.0,0.2798290553813179,96,0,0,0,0.0,0.0,0.0,0
3,0.0,0.2645777204835957,88,0,0,0,0.0,0.0,0.0,0
4,0.0,0.22910882883212147,102,0,0,0,0.0,0.0,0.0,0
5,0.0,0.23186226462831303,98,0,0,0,0.0,0.0,0.0,0
6,0.0,0.19621018262373077,90,0,0,0,0.0,0.0,0.0,0
7,0.0,0.20404843133356837,90,0,0,0,0.0,0.0,0.0,0
8,0.0,0.1882638619332523,91,0,0,0,0.0,0.0,0.0,0
9,0.0,0.19921364610114795,89,0,0,0,0.0,0.0,0.0,0
10,0.0,0.18157382258305363,102,0,0,0,0.0,0.0,0.0,0
11,0.0,0.21495350691325524,102,0,0,0,0.0,0.0,0.0,0
12,0.0,0.20108925661241467,88,0,0,0,0.0,0.0,0.0,0
13,0.0,0.16801679607791206,96,0,0,0,0.0,0.0,0.0,0
14,0.0,0.16450235959920254,91,0,0,0,0.0,0.0,0.0,0
15,0.0,0.14680555808482712,97,0,0,0,0.0,0.0,0.0,0
16,0.0,0.1571838713750459,276,0,0,0,0.0,0.0,0.0,0
17,0.0,0.14687032692811705,88,0,0,0,0.0,0.0,0.0,0
18,0.0,0.1561047894259294,90,0,0,0,0.0,0.0,0.0,0
19,0.0,0.14408301090200742,90,0,0,0,0.0,0.0,0.0,0
20,0.0,0.19922679171398067,138,0,0,0,0.0,0.0,0.0,0
21,0.0,0.1851120527725721,276,0,0,0,0.0,0.0,0.0,0
22,0.0,0.15177232216970593,102,0,0,0,0.0,0.0,0.0,0
23,0.0,0.13229446245384388,276,0,0,0,0.0,0.0,0.0,0
24,0.0,0.14034344455686168,276,0,0,0,0.0,0.0,0.0,0
25,0.0,0.20428113259521186,102,0,0,0,0.0,0.0,0.0,0
26,0.0,0.1677576725411674,276,0,0,0,0.0,0.0,0.0,0
27,0.0,0.13729990304124598,98,0,0,0,0.0,0.0,0.0,0
28,0.0,0.1187770882776628,96,0,0,0,0.0,0.0,0.0,0
29,0.0,0.11000540271237656,91,0,0,0,0.0,0.0,0.0,0
30,0.0,0.12058444957559307,96,0,0,0,0.0,0.0,0.0,0
31,0.0,0.11206222705695094,98,0,0,0,0.0,0.0,0.0,0
32,0.0,0.10528031247211438,102,0,0,0,0.0,0.0,0.0,0
33,0.0,0.21351353327433267,90,0,0,0,0.0,0.0,0.0,0
34,0.0,0.15526360116791035,276,0,0,0,0.0,0.0,0.0,0
35,0.0,0.11900736289945515,88,0,0,0,0.0,0.0,0.0,0
36,0.0,0.11950692631028316,135,0,0,0,0.0,0.0,0.0,0
37,0.0,0.1221939946214358,96,0,0,0,0.0,0.0,0.0,0
38,0.0,0.12081336035676625,276,0,0,0,0.0,0.0,0.0,0
39,0.0,0.18364306455613047,276,0,0,0,0.0,0.0,0.0,0
40,0.0,0.16949459261233263,101,0,0,0,0.0,0.0,0.0,0
41,0.0,0.12080975349290647,276,0,0,0,0.0,0.0,0.0,0
42,0.0,0.1091343325873216,90,0,0,0,0.0,0.0,0.0,0
