episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,41.70156536417772,0.5796578993984297,102,0,0,0,0.0,0.0,0.0,0
2,34.990792735400035,0.3738688137382269,96,0,0,0,0.0,0.0,0.0,0
3,32.22690662612349,0.3053067580542781,88,0,0,0,0.0,0.0,0.0,0
4,31.51962037097066,0.24240305318551905,102,0,0,0,0.0,0.0,0.0,0
5,32.87381247290239,0.24195692475352967,98,0,0,0,0.0,0.0,0.0,0
6,28.974452633455368,0.2247341783510314,90,0,0,0,0.0,0.0,0.0,0
7,27.769192202675484,0.22491367790434097,90,0,0,0,0.0,0.0,0.0,0
8,27.192110157913035,0.2337417763013106,91,0,0,0,0.0,0.0,0.0,0
9,25.859242715051398,0.23659258227174482,96,0,0,0,0.0,0.0,0.0,0
10,24.979394836942117,0.2800310094859086,102,0,0,0,0.0,0.0,0.0,0
11,25.1883813454569,0.452759761290223,102,0,0,0,0.0,0.0,0.0,0
12,23.094253064284164,0.5465040410106833,88,0,0,0,0.0,0.0,0.0,0
13,22.774116180529948,0.4391941355230908,96,0,0,0,0.0,0.0,0.0,0
14,22.653364362810557,0.2952238589852721,91,0,0,0,0.0,0.0,0.0,0
15,44.90765610528748,0.24353695790404858,276,0,0,0,0.0,0.0,0.0,0
16,27.557228815488894,0.28804366225781647,276,0,0,0,0.0,0.0,0.0,0
17,19.790158743130988,0.2800233508036895,88,0,0,0,0.0,0.0,0.0,0
18,19.704006699316235,0.5803925217853652,90,0,0,0,0.0,0.0,0.0,0
19,19.225412757624454,0.46562545498212177,90,0,0,0,0.0,0.0,0.0,0
20,20.099256327667373,0.33816357984126194,103,0,0,0,0.0,0.0,0.0,0
21,18.583289786349148,0.31596313504611745,102,0,0,0,0.0,0.0,0.0,0
22,18.142427748831487,0.31111427776369394,102,0,0,0,0.0,0.0,0.0,0
23,22.811528048033207,0.2872777338801087,276,0,0,0,0.0,0.0,0.0,0
24,22.0050151635419,0.2619741539052431,276,0,0,0,0.0,0.0,0.0,0
25,18.07945505619995,0.699605283199572,102,0,0,0,0.0,0.0,0.0,0
26,52.48669314022151,0.3617244101520898,276,0,0,0,0.0,0.0,0.0,0
27,20.142933246129292,0.27041191531687364,98,0,0,0,0.0,0.0,0.0,0
28,29.471679463114853,0.2560809987826624,276,0,0,0,0.0,0.0,0.0,0
29,16.532176158623237,0.24936258940251319,91,0,0,0,0.0,0.0,0.0,0
30,15.886940231905287,0.23607666542132696,96,0,0,0,0.0,0.0,0.0,0
31,19.159248839376083,0.4866066368258729,98,0,0,0,0.0,0.0,0.0,0
32,16.622428281989933,0.6013523606108684,102,0,0,0,0.0,0.0,0.0,0
33,15.457344440059904,0.44949029717180466,90,0,0,0,0.0,0.0,0.0,0
34,20.349176495793316,0.29141718570304953,276,0,0,0,0.0,0.0,0.0,0
35,14.674582536833107,0.2528997776521878,88,0,0,0,0.0,0.0,0.0,0
36,14.960279587941201,0.240026952642383,99,0,0,0,0.0,0.0,0.0,0
37,14.570648145230138,0.2963990441833933,96,0,0,0,0.0,0.0,0.0,0
38,31.886455493350937,0.4390191903904728,276,0,0,0,0.0,0.0,0.0,0
39,26.913899630317204,0.41377585980555287,276,0,0,0,0.0,0.0,0.0,0
40,14.636761841177153,0.2866245201318571,101,0,0,0,0.0,0.0,0.0,0
41,20.08600744401652,0.2973738094062909,276,0,0,0,0.0,0.0,0.0,0
42,13.879837403813466,0.2761682508720292,90,0,0,0,0.0,0.0,0.0,0
43,21.786512390279423,0.3697529562573502,276,0,0,0,0.0,0.0,0.0,0
44,14.577244265895077,0.4435301732783224,102,0,0,0,0.0,0.0,0.0,0
45,19.23205139878351,0.31447775143644086,276,0,0,0,0.0,0.0,0.0,0
46,12.969205873716525,0.2740585467016155,88,0,0,0,0.0,0.0,0.0,0
47,18.14778468910429,0.2583160732427369,276,0,0,0,0.0,0.0,0.0,0
48,18.953607792079865,0.399559306655673,276,0,0,0,0.0,0.0,0.0,0
49,16.2578605413821,0.47416694644762547,98,0,0,0,0.0,0.0,0.0,0
50,17.676184383522052,0.34294025837511255,276,0,0,0,0.0,0.0,0.0,0
