episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,0.0,0.2556847354086737,96,0,0,0,0.0,0.0,0.0,0
2,0.0,0.31534699764516616,90,0,0,0,0.0,0.0,0.0,0
3,0.0,0.2825529225562748,95,0,0,0,0.0,0.0,0.0,0
4,0.0,0.24489277243614196,100,0,0,0,0.0,0.0,0.0,0
5,0.0,0.24577981045371608,95,0,0,0,0.0,0.0,0.0,0
6,0.0,0.22496932486170215,95,0,0,0,0.0,0.0,0.0,0
7,0.0,0.2367321483037445,89,0,0,0,0.0,0.0,0.0,0
8,0.0,0.21963754083429063,105,0,0,0,0.0,0.0,0.0,0
9,0.0,0.21055056617448203,95,0,0,0,0.0,0.0,0.0,0
10,0.0,0.21691761657163716,276,0,0,0,0.0,0.0,0.0,0
11,0.0,0.1921487623906654,276,0,0,0,0.0,0.0,0.0,0
12,0.0,0.17044194426733195,97,0,0,0,0.0,0.0,0.0,0
13,0.0,0.15615589379508427,276,0,0,0,0.0,0.0,0.0,0
14,0.0,0.14293031627312303,96,0,0,0,0.0,0.0,0.0,0
15,0.0,0.15273858446587799,93,0,0,0,0.0,0.0,0.0,0
16,0.0,0.20069809506336847,105,0,0,0,0.0,0.0,0.0,0
17,0.0,0.18093705224363427,95,0,0,0,0.0,0.0,0.0,0
18,0.0,0.1639824326885374,95,0,0,0,0.0,0.0,0.0,0
19,0.0,0.12884999573230743,100,0,0,0,0.0,0.0,0.0,0
20,0.0,0.14127548663389114,105,0,0,0,0.0,0.0,0.0,0
21,0.0,0.1299375297991853,95,0,0,0,0.0,0.0,0.0,0
22,0.0,0.12805087980814278,96,0,0,0,0.0,0.0,0.0,0
23,0.0,0.1192483852441976,276,0,0,0,0.0,0.0,0.0,0
24,0.0,0.15233628122430098,95,0,0,0,0.0,0.0,0.0,0
25,0.0,0.15336215002057346,276,0,0,0,0.0,0.0,0.0,0
26,0.0,0.13190221970064053,276,0,0,0,0.0,0.0,0.0,0
27,0.0,0.11885939358096374,95,0,0,0,0.0,0.0,0.0,0
28,0.0,0.12386074677570579,97,0,0,0,0.0,0.0,0.0,0
29,0.0,0.11449501263467889,95,0,0,0,0.0,0.0,0.0,0
30,0.0,0.168873297482513,276,0,0,0,0.0,0.0,0.0,0
31,0.0,0.16489933749350408,96,0,0,0,0.0,0.0,0.0,0
32,0.0,0.1252722879773692,95,0,0,0,0.0,0.0,0.0,0
33,0.0,0.11921733226357163,276,0,0,0,0.0,0.0,0.0,0
34,0.0,0.11888206399977207,100,0,0,0,0.0,0.0,0.0,0
35,0.0,0.11449560323271199,276,0,0,0,0.0,0.0,0.0,0
36,0.0,0.20698850015910825,89,0,0,0,0.0,0.0,0.0,0
37,0.0,0.14623283532758555,276,0,0,0,0.0,0.0,0.0,0
38,0.0,0.11462071697241154,276,0,0,0,0.0,0.0,0.0,0
39,0.0,0.11517658484609504,95,0,0,0,0.0,0.0,0.0,0
40,0.0,0.10509078581082193,95,0,0,0,0.0,0.0,0.0,0
41,0.0,0.08983065983966777,95,0,0,0,0.0,0.0,0.0,0
42,0.0,0.13158146664500237,105,0,0,0,0.0,0.0,0.0,0
43,0.0,0.17104531190209632,276,0,0,0,0.0,0.0,0.0,0
44,0.0,0.12744370218960271,276,0,0,0,0.0,0.0,0.0,0
45,0.0,0.11926942517090103,276,0,0,0,0.0,0.0,0.0,0
46,0.0,0.13942193674859663,197,0,0,0,0.0,0.0,0.0,0
47,0.0,0.18812580876376317,276,0,0,0,0.0,0.0,0.0,0
48,0.0,0.1438487550088515,96,0,0,0,0.0,0.0,0.0,0
49,0.0,0.12222462314842404,276,0,0,0,0.0,0.0,0.0,0
50,0.0,0.10999279251594223,89,0,0,0,0.0,0.0,0.0,0
51,0.0,0.14713381225432176,276,0,0,0,0.0,0.0,0.0,0
52,0.0,0.18705532219314921,276,0,0,0,0.0,0.0,0.0,0
53,0.0,0.1502223391281931,95,0,0,0,0.0,0.0,0.0,0
54,0.0,0.12348718925689657,96,0,0,0,0.0,0.0,0.0,0
55,0.0,0.10891116270120593,276,0,0,0,0.0,0.0,0.0,0
56,0.0,0.14637090672023487,276,0,0,0,0.0,0.0,0.0,0
57,0.0,0.17153903465895426,105,0,0,0,0.0,0.0,0.0,0
58,0.0,0.13768656052433062,276,0,0,0,0.0,0.0,0.0,0
59,0.0,0.11186507379339225,276,0,0,0,0.0,0.0,0.0,0
60,0.0,0.10904026354082684,276,0,0,0,0.0,0.0,0.0,0
61,0.0,0.1834337507793005,276,0,0,0,0.0,0.0,0.0,0
62,0.0,0.1334697532185008,89,0,0,0,0.0,0.0,0.0,0
63,0.0,0.12555436268988726,276,0,0,0,0.0,0.0,0.0,0
64,0.0,0.1155243061399192,89,0,0,0,0.0,0.0,0.0,0
65,0.0,0.12215842699171395,93,0,0,0,0.0,0.0,0.0,0
66,0.0,0.1520129846867876,276,0,0,0,0.0,0.0,0.0,0
67,0.0,0.16353882492209473,96,0,0,0,0.0,0.0,0.0,0
68,0.0,0.13563834500593552,276,0,0,0,0.0,0.0,0.0,0
69,0.0,0.11366920300044012,276,0,0,0,0.0,0.0,0.0,0
70,0.0,0.1300660387167464,276,0,0,0,0.0,0.0,0.0,0
71,0.0,0.16654946865594905,276,0,0,0,0.0,0.0,0.0,0
72,0.0,0.12415511928498744,100,0,0,0,0.0,0.0,0.0,0
73,0.0,0.11131202606349319,276,0,0,0,0.0,0.0,0.0,0
74,0.0,0.11283090710639954,95,0,0,0,0.0,0.0,0.0,0
75,0.0,0.10192646368553764,95,0,0,0,0.0,0.0,0.0,0
76,0.0,0.09893185180640712,97,0,0,0,0.0,0.0,0.0,0
77,0.0,0.19705713700543168,93,0,0,0,0.0,0.0,0.0,0
78,0.0,0.18546134361656763,93,0,0,0,0.0,0.0,0.0,0
79,0.0,0.14866367743203515,95,0,0,0,0.0,0.0,0.0,0
80,0.0,0.11451640700840432,276,0,0,0,0.0,0.0,0.0,0
81,0.0,0.09907900697241227,276,0,0,0,0.0,0.0,0.0,0
82,0.0,0.12959458982652944,276,0,0,0,0.0,0.0,0.0,0
83,0.0,0.15965349157340825,96,0,0,0,0.0,0.0,0.0,0
84,0.0,0.13730415803821464,95,0,0,0,0.0,0.0,0.0,0
85,0.0,0.12130516702714174,276,0,0,0,0.0,0.0,0.0,0
86,0.0,0.1059576756172422,276,0,0,0,0.0,0.0,0.0,0
87,0.0,0.13849791978904302,276,0,0,0,0.0,0.0,0.0,0
88,0.0,0.1693909567736444,105,0,0,0,0.0,0.0,0.0,0
89,0.0,0.13309237064533336,93,0,0,0,0.0,0.0,0.0,0
90,0.0,0.11619358439592348,276,0,0,0,0.0,0.0,0.0,0
91,0.0,0.10942110410901938,89,0,0,0,0.0,0.0,0.0,0
92,0.0,0.1077039843513852,105,0,0,0,0.0,0.0,0.0,0
93,0.0,0.09864875227212906,95,0,0,0,0.0,0.0,0.0,0
94,0.0,0.0958468528445234,97,0,0,0,0.0,0.0,0.0,0
95,0.0,0.15648798332098993,93,0,0,0,0.0,0.0,0.0,0
