variant,seed,mean_trap_hits,mean_alignment_gap,success_rate
pg_spie,0,1.1125,5.108425000000013,0.5
pg_spie,1,0.22,0.9006250000000021,0.58
pg_spie,2,0.415,1.4399000000000046,0.54
pg_spie,3,0.025,-0.0508499999999989,0.51
pg_spie,4,0.0975,0.0470250000000005,0.59
pg_spie_r2_k1,0,0.79,3.6671250000000097,0.51
pg_spie_r2_k1,1,0.0675,-0.126324999999999,0.58
pg_spie_r2_k1,2,0.6625,2.816050000000006,0.54
pg_spie_r2_k1,3,0.0075,-0.2480999999999991,0.51
pg_spie_r2_k1,4,0.015,-0.1698999999999993,0.59
pg_spie_r2_k4,0,0.1275,0.3418250000000022,0.51
pg_spie_r2_k4,1,0.0075,-0.108674999999999,0.58
pg_spie_r2_k4,2,0.03,-0.3944499999999991,0.54
pg_spie_r2_k4,3,0.0075,-0.2267749999999992,0.51
pg_spie_r2_k4,4,0.0225,0.1353500000000002,0.59
pg_spie_r2_k8,0,0.03,-0.2079999999999989,0.51
pg_spie_r2_k8,1,0.03,-0.1357499999999995,0.58
pg_spie_r2_k8,2,0.03,-0.0586999999999991,0.54
pg_spie_r2_k8,3,0.0075,-0.2115499999999988,0.5
pg_spie_r2_k8,4,0.015,-0.0450999999999999,0.59
