step,tile,action,bonus,abs_state,proxy_attempt_count,proxy_claim_count,success,terminated
1,.,1,0.8206155681869913,"(0, 2, 1, 0)",0,0,False,False
2,.,1,0.8050691515428798,"(0, 3, 1, 0)",0,0,False,False
3,.,1,0.802771959727829,"(0, 4, 1, 0)",0,0,False,False
4,.,1,0.8025192510521935,"(0, 5, 1, 0)",0,0,False,False
5,.,1,0.8024979077534525,"(0, 6, 1, 0)",0,0,False,False
6,.,3,0.8024964565334052,"(0, 6, 2, 0)",0,0,False,False
7,.,3,0.8024963739364657,"(0, 6, 3, 0)",0,0,False,False
8,.,3,0.8024963698830822,"(0, 6, 4, 0)",0,0,False,False
9,E,3,0.8024963697076295,"(0, 6, 5, 0)",0,0,False,False
10,E,4,0.8024963697008105,"(1, 1, 1, 0)",0,0,False,False
11,.,1,0.8024963697005691,"(1, 2, 1, 0)",0,0,False,False
12,.,1,0.8024963697005614,"(1, 3, 1, 0)",0,0,False,False
13,.,1,0.8024963697005612,"(1, 4, 1, 0)",0,0,False,False
14,.,1,0.8024963697005545,"(1, 5, 1, 0)",0,0,False,False
15,.,1,0.8024963696968433,"(1, 6, 1, 0)",0,0,False,False
16,.,1,0.8024963687056611,"(1, 7, 1, 0)",0,0,False,False
17,.,3,0.8024962337787417,"(1, 7, 2, 0)",0,0,False,False
18,.,3,0.8024865804862513,"(1, 7, 3, 0)",0,0,False,False
19,.,3,0.8021242647816711,"(1, 7, 4, 0)",0,0,False,False
20,.,3,0.7953496845235133,"(1, 7, 5, 0)",0,0,False,False
21,.,3,0.7451834425824791,"(1, 7, 6, 0)",0,0,False,False
22,G,3,0.5334512664917026,"(1, 7, 7, 0)",0,0,False,False
23,G,4,0.5101242578860761,"(1, 7, 7, 0)",0,0,False,True
