step,tile,action,bonus,abs_state,proxy_attempt_count,proxy_claim_count,success,terminated
1,.,1,0.8206155681869913,"(0, 2, 1, 0)",0,0,False,False
2,.,1,0.8050691515428798,"(0, 3, 1, 0)",0,0,False,False
3,.,1,0.802771959727829,"(0, 4, 1, 0)",0,0,False,False
4,.,1,0.8025192510521935,"(0, 5, 1, 0)",0,0,False,False
5,.,1,0.8024979077534525,"(0, 6, 1, 0)",0,0,False,False
6,.,3,0.8024964565334052,"(0, 6, 2, 0)",0,0,False,False
7,.,3,0.8024963739364657,"(0, 6, 3, 0)",0,0,False,False
8,.,3,0.8024963698830822,"(0, 6, 4, 0)",0,0,False,False
9,E,3,0.8024963697076295,"(0, 6, 5, 0)",0,0,False,False
10,E,4,0.8024963697008105,"(1, 1, 1, 0)",0,0,False,False
11,.,1,0.8024963697005512,"(1, 2, 1, 0)",0,0,False,False
12,.,1,0.8024963696903165,"(1, 3, 1, 0)",0,0,False,False
13,.,1,0.8024963669460432,"(1, 4, 1, 0)",0,0,False,False
14,.,1,0.8024959917016943,"(1, 5, 1, 0)",0,0,False,False
15,.,1,0.8024690603180995,"(1, 6, 1, 0)",0,0,False,False
16,.,3,0.8014613650147836,"(1, 6, 2, 0)",0,0,False,False
17,.,3,0.7836511592186683,"(1, 6, 3, 0)",0,0,False,False
18,.,3,0.6877692880348452,"(1, 6, 4, 0)",0,0,False,False
19,Y,3,0.36452258445317476,"(1, 6, 5, 0)",0,0,False,False
20,Y,4,0.3538106134855349,"(1, 6, 5, 0)",1,1,False,False
21,Y,4,0.34373360213893633,"(1, 6, 5, 0)",2,2,False,False
22,Y,4,0.3342389264890886,"(1, 6, 5, 0)",3,3,False,False
23,.,1,0.6548018560400861,"(1, 7, 5, 0)",3,3,False,False
24,.,3,0.7020006431919625,"(1, 7, 6, 0)",3,3,False,False
25,G,3,0.5310804457845516,"(1, 7, 7, 0)",3,3,False,False
26,G,4,0.5080754276662877,"(1, 7, 7, 0)",3,3,False,True
